+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ur | Nu | Nu | St | En | Im | Im | Im | Na | Na | Li | Ag | Pr | Pa | Pa | Te | Te | Te | Vi | V |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | C_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | fa |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ci |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ng |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _f |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ro |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | nt |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | .t |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | if |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | /l |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | os |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | sy |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ag |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | e1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 65 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | px |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -W |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | il |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | li |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | am |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _H |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ow |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ar |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ta |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ft |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | C_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | he |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ad |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -a |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | nd |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -s |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ho |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ul |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | de |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rs |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | tr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ai |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2C |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _f |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ac |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | in |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | fr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ti |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 28 | ht | Ma | Ma | ht | Wo | ht | Wo | ht | 18 | (L | 34 | De | ht | (1 | 32 | (1 | Th | h |
| tp |    | tp | rc | rc | tp | od | tp | od | tp | 56 | iv | th | mo | tp | 91 |    | 91 | om | t |
| s: |    | s: | h  | h  | s: | ro | s: | ro | s: | –1 | ed |  G | cr | s: | 2) |    | 3) | as | t |
| // |    | // | 4, | 4, | // | w  | // | w  | // | 92 | :  | ov | at | // |    |    |    | R. | p |
| en |    | en | 19 | 19 | up | Wi | en | Wi | en | 4  | 67 | er | ic | en |    |    |    | Ma | s |
| .w |    | .w | 13 | 21 | lo | ls | .w | ls | .w |    | ye | no |    | .w |    |    |    | rs | : |
| ik |    | ik |    |    | ad | on | ik | on | ik |    | ar | r  |    | ik |    |    |    | ha | / |
| ip |    | ip |    |    | .w | -H | ip |    | ip |    | s) | of |    | ip |    |    |    | ll | / |
| ed |    | ed |    |    | ik | &E | ed |    | ed |    |    | Ne |    | ed |    |    |    |    | e |
| ia |    | ia |    |    | im | .j | ia |    | ia |    |    | w  |    | ia |    |    |    |    | n |
| .o |    | .o |    |    | ed | pg | .o |    | .o |    |    | Je |    | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia |    | rg |    | rg |    |    | rs |    | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o |    | /w |    | /w |    |    | ey |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg |    | ik |    | ik |    |    |  ( |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w |    | i/ |    | i/ |    |    | 19 |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik |    | Fi |    | Wo |    |    | 11 |    | De |    |    |    |    | p |
| st |    | es |    |    | ip |    | le |    | od |    |    | –1 |    | mo |    |    |    |    | e |
| _o |    | id |    |    | ed |    | :W |    | ro |    |    | 91 |    | cr |    |    |    |    | d |
| f_ |    | en |    |    | ia |    | oo |    | w_ |    |    | 3) |    | at |    |    |    |    | i |
| Pr |    | cy |    |    | /c |    | dr |    | Wi |    |    |    |    | ic |    |    |    |    | a |
| es |    | _o |    |    | om |    | ow |    | ls |    |    |    |    | _P |    |    |    |    | . |
| id |    | f_ |    |    | mo |    | _W |    | on |    |    |    |    | ar |    |    |    |    | o |
| en |    | Wo |    |    | ns |    | il |    |    |    |    |    |    | ty |    |    |    |    | r |
| ts |    | od |    |    | /t |    | so |    |    |    |    |    |    | _( |    |    |    |    | g |
| _o |    | ro |    |    | hu |    | n- |    |    |    |    |    |    | Un |    |    |    |    | / |
| f_ |    | w_ |    |    | mb |    | H% |    |    |    |    |    |    | it |    |    |    |    | w |
| th |    | Wi |    |    | /4 |    | 26 |    |    |    |    |    |    | ed |    |    |    |    | i |
| e_ |    | ls |    |    | /4 |    | E. |    |    |    |    |    |    | _S |    |    |    |    | k |
| Un |    | on |    |    | d/ |    | jp |    |    |    |    |    |    | ta |    |    |    |    | i |
| it |    |    |    |    | Wo |    | g  |    |    |    |    |    |    | te |    |    |    |    | / |
| ed |    |    |    |    | od |    |    |    |    |    |    |    |    | s) |    |    |    |    | T |
| _S |    |    |    |    | ro |    |    |    |    |    |    |    |    |    |    |    |    |    | h |
| ta |    |    |    |    | w_ |    |    |    |    |    |    |    |    |    |    |    |    |    | o |
| te |    |    |    |    | Wi |    |    |    |    |    |    |    |    |    |    |    |    |    | m |
| s  |    |    |    |    | ls |    |    |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | -H |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    | R |
|    |    |    |    |    | 6E |    |    |    |    |    |    |    |    |    |    |    |    |    | . |
|    |    |    |    |    | .j |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | pg |    |    |    |    |    |    |    |    |    |    |    |    |    | M |
|    |    |    |    |    | /1 |    |    |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | 65 |    |    |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | px |    |    |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | -W |    |    |    |    |    |    |    |    |    |    |    |    |    | h |
|    |    |    |    |    | oo |    |    |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | dr |    |    |    |    |    |    |    |    |    |    |    |    |    | l |
|    |    |    |    |    | ow |    |    |    |    |    |    |    |    |    |    |    |    |    | l |
|    |    |    |    |    | _W |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | il |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | so |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | H% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 26 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | E. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 28 | ht | Ma | Ma | ht | Wo | ht | Wo | ht | 18 | (L | 34 | De | ht | (1 | 33 | (1 | Th | h |
| tp |    | tp | rc | rc | tp | od | tp | od | tp | 56 | iv | th | mo | tp | 91 |    | 91 | om | t |
| s: |    | s: | h  | h  | s: | ro | s: | ro | s: | –1 | ed |  G | cr | s: | 6) |    | 7) | as | t |
| // |    | // | 4, | 4, | // | w  | // | w  | // | 92 | :  | ov | at | // |    |    |    | R. | p |
| en |    | en | 19 | 19 | up | Wi | en | Wi | en | 4  | 67 | er | ic | en |    |    |    | Ma | s |
| .w |    | .w | 13 | 21 | lo | ls | .w | ls | .w |    | ye | no |    | .w |    |    |    | rs | : |
| ik |    | ik |    |    | ad | on | ik | on | ik |    | ar | r  |    | ik |    |    |    | ha | / |
| ip |    | ip |    |    | .w | -H | ip |    | ip |    | s) | of |    | ip |    |    |    | ll | / |
| ed |    | ed |    |    | ik | &E | ed |    | ed |    |    | Ne |    | ed |    |    |    |    | e |
| ia |    | ia |    |    | im | .j | ia |    | ia |    |    | w  |    | ia |    |    |    |    | n |
| .o |    | .o |    |    | ed | pg | .o |    | .o |    |    | Je |    | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia |    | rg |    | rg |    |    | rs |    | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o |    | /w |    | /w |    |    | ey |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg |    | ik |    | ik |    |    |  ( |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w |    | i/ |    | i/ |    |    | 19 |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik |    | Fi |    | Wo |    |    | 11 |    | De |    |    |    |    | p |
| st |    | es |    |    | ip |    | le |    | od |    |    | –1 |    | mo |    |    |    |    | e |
| _o |    | id |    |    | ed |    | :W |    | ro |    |    | 91 |    | cr |    |    |    |    | d |
| f_ |    | en |    |    | ia |    | oo |    | w_ |    |    | 3) |    | at |    |    |    |    | i |
| Pr |    | cy |    |    | /c |    | dr |    | Wi |    |    |    |    | ic |    |    |    |    | a |
| es |    | _o |    |    | om |    | ow |    | ls |    |    |    |    | _P |    |    |    |    | . |
| id |    | f_ |    |    | mo |    | _W |    | on |    |    |    |    | ar |    |    |    |    | o |
| en |    | Wo |    |    | ns |    | il |    |    |    |    |    |    | ty |    |    |    |    | r |
| ts |    | od |    |    | /t |    | so |    |    |    |    |    |    | _( |    |    |    |    | g |
| _o |    | ro |    |    | hu |    | n- |    |    |    |    |    |    | Un |    |    |    |    | / |
| f_ |    | w_ |    |    | mb |    | H% |    |    |    |    |    |    | it |    |    |    |    | w |
| th |    | Wi |    |    | /4 |    | 26 |    |    |    |    |    |    | ed |    |    |    |    | i |
| e_ |    | ls |    |    | /4 |    | E. |    |    |    |    |    |    | _S |    |    |    |    | k |
| Un |    | on |    |    | d/ |    | jp |    |    |    |    |    |    | ta |    |    |    |    | i |
| it |    |    |    |    | Wo |    | g  |    |    |    |    |    |    | te |    |    |    |    | / |
| ed |    |    |    |    | od |    |    |    |    |    |    |    |    | s) |    |    |    |    | T |
| _S |    |    |    |    | ro |    |    |    |    |    |    |    |    |    |    |    |    |    | h |
| ta |    |    |    |    | w_ |    |    |    |    |    |    |    |    |    |    |    |    |    | o |
| te |    |    |    |    | Wi |    |    |    |    |    |    |    |    |    |    |    |    |    | m |
| s  |    |    |    |    | ls |    |    |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | -H |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    | R |
|    |    |    |    |    | 6E |    |    |    |    |    |    |    |    |    |    |    |    |    | . |
|    |    |    |    |    | .j |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | pg |    |    |    |    |    |    |    |    |    |    |    |    |    | M |
|    |    |    |    |    | /1 |    |    |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | 65 |    |    |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | px |    |    |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | -W |    |    |    |    |    |    |    |    |    |    |    |    |    | h |
|    |    |    |    |    | oo |    |    |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | dr |    |    |    |    |    |    |    |    |    |    |    |    |    | l |
|    |    |    |    |    | ow |    |    |    |    |    |    |    |    |    |    |    |    |    | l |
|    |    |    |    |    | _W |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | il |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | so |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | H% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 26 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | E. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 29 | ht | Ma | Au | ht | Wa | ht | Wa | ht | 18 | (L | U. | Re | ht | (1 | 34 | (1 | Ca | h |
| tp |    | tp | rc | gu | tp | rr | tp | rr | tp | 65 | iv | S. | pu | tp | 92 |    | 92 | lv | t |
| s: |    | s: | h  | st | s: | en | s: | en | s: | –1 | ed | Se | bl | s: | 0) |    | 1) | in | t |
| // |    | // | 4, | 2, | // | G  | // | G. | // | 92 | :  | na | ic | // |    |    |  ( | Co | p |
| en |    | en | 19 | 19 | up | Ha | en | Ha | en | 3  | 57 | to | an | en |    |    | 19 | ol | s |
| .w |    | .w | 21 | 23 | lo | rd | .w | rd | .w |    | ye | r  |    | .w |    |    | 23 | id | : |
| ik |    | ik |    |    | ad | in | ik | in | ik |    | ar | (C |    | ik |    |    | )  | ge | / |
| ip |    | ip |    |    | .w | g- | ip | g  | ip |    | s) | la |    | ip |    |    |    |    | / |
| ed |    | ed |    |    | ik | Ha | ed |    | ed |    |    | ss |    | ed |    |    |    |    | e |
| ia |    | ia |    |    | im | rr | ia |    | ia |    |    | 3) |    | ia |    |    |    |    | n |
| .o |    | .o |    |    | ed | is | .o |    | .o |    |    | fr |    | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia | &  | rg |    | rg |    |    | om |    | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o | Ew | /w |    | /w |    |    | Oh |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg | in | ik |    | ik |    |    | io |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w | g. | i/ |    | i/ |    |    |  ( |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik | jp | Fi |    | Wa |    |    | 19 |    | Re |    |    |    |    | p |
| st |    | es |    |    | ip | g  | le |    | rr |    |    | 15 |    | pu |    |    |    |    | e |
| _o |    | id |    |    | ed |    | :W |    | en |    |    | –1 |    | bl |    |    |    |    | d |
| f_ |    | en |    |    | ia |    | ar |    | _G |    |    | 92 |    | ic |    |    |    |    | i |
| Pr |    | cy |    |    | /c |    | re |    | ._ |    |    | 1) |    | an |    |    |    |    | a |
| es |    | _o |    |    | om |    | n_ |    | Ha |    |    |    |    | _P |    |    |    |    | . |
| id |    | f_ |    |    | mo |    | G_ |    | rd |    |    |    |    | ar |    |    |    |    | o |
| en |    | Wa |    |    | ns |    | Ha |    | in |    |    |    |    | ty |    |    |    |    | r |
| ts |    | rr |    |    | /t |    | rd |    | g  |    |    |    |    | _( |    |    |    |    | g |
| _o |    | en |    |    | hu |    | in |    |    |    |    |    |    | Un |    |    |    |    | / |
| f_ |    | _G |    |    | mb |    | g- |    |    |    |    |    |    | it |    |    |    |    | w |
| th |    | ._ |    |    | /c |    | Ha |    |    |    |    |    |    | ed |    |    |    |    | i |
| e_ |    | Ha |    |    | /c |    | rr |    |    |    |    |    |    | _S |    |    |    |    | k |
| Un |    | rd |    |    | 4/ |    | is |    |    |    |    |    |    | ta |    |    |    |    | i |
| it |    | in |    |    | Wa |    | _% |    |    |    |    |    |    | te |    |    |    |    | / |
| ed |    | g  |    |    | rr |    | 26 |    |    |    |    |    |    | s) |    |    |    |    | C |
| _S |    |    |    |    | en |    | _E |    |    |    |    |    |    |    |    |    |    |    | a |
| ta |    |    |    |    | _G |    | wi |    |    |    |    |    |    |    |    |    |    |    | l |
| te |    |    |    |    | _H |    | ng |    |    |    |    |    |    |    |    |    |    |    | v |
| s  |    |    |    |    | ar |    | .j |    |    |    |    |    |    |    |    |    |    |    | i |
|    |    |    |    |    | di |    | pg |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | ng |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | -H |    |    |    |    |    |    |    |    |    |    |    |    |    | C |
|    |    |    |    |    | ar |    |    |    |    |    |    |    |    |    |    |    |    |    | o |
|    |    |    |    |    | ri |    |    |    |    |    |    |    |    |    |    |    |    |    | o |
|    |    |    |    |    | s_ |    |    |    |    |    |    |    |    |    |    |    |    |    | l |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    | i |
|    |    |    |    |    | 6_ |    |    |    |    |    |    |    |    |    |    |    |    |    | d |
|    |    |    |    |    | Ew |    |    |    |    |    |    |    |    |    |    |    |    |    | g |
|    |    |    |    |    | in |    |    |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | g. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g/ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Wa |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | en |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _G |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _H |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ar |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | di |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ng |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -H |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ar |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ri |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | s_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 6_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ew |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | in |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 30 | ht | Au | Ma | ht | Ca | ht | Ca | ht | 18 | (L | 29 | Re | ht | (1 | 34 | (1 |    |   |
| tp |    | tp | gu | rc | tp | lv | tp | lv | tp | 72 | iv | th | pu | tp | 92 |    | 92 |    |   |
| s: |    | s: | st | h  | s: | in | s: | in | s: | –1 | ed |  V | bl | s: | 0) |    | 1) |    |   |
| // |    | // | 2, | 4, | // | Co | // | Co | // | 93 | :  | ic | ic | // |    |    |  ( |    |   |
| en |    | en | 19 | 19 | up | ol | en | ol | en | 3  | 60 | e  | an | en |    |    | 19 |    |   |
| .w |    | .w | 23 | 29 | lo | id | .w | id | .w |    | ye | Pr |    | .w |    |    | 23 |    |   |
| ik |    | ik |  [ |    | ad | ge | ik | ge | ik |    | ar | es |    | ik |    |    | )  |    |   |
| ip |    | ip | q] |    | .w | ,  | ip |    | ip |    | s) | id |    | ip |    |    |    |    |   |
| ed |    | ed |    |    | ik | bw | ed |    | ed |    |    | en |    | ed |    |    |    |    |   |
| ia |    | ia |    |    | im | he | ia |    | ia |    |    | t  |    | ia |    |    |    |    |   |
| .o |    | .o |    |    | ed | ad | .o |    | .o |    |    | of |    | .o |    |    |    |    |   |
| rg |    | rg |    |    | ia | an | rg |    | rg |    |    | th |    | rg |    |    |    |    |   |
| /w |    | /w |    |    | .o | d  | /w |    | /w |    |    | e  |    | /w |    |    |    |    |   |
| ik |    | ik |    |    | rg | sh | ik |    | ik |    |    | Un |    | ik |    |    |    |    |   |
| i/ |    | i/ |    |    | /w | ou | i/ |    | i/ |    |    | it |    | i/ |    |    |    |    |   |
| Li |    | Pr |    |    | ik | ld | Fi |    | Ca |    |    | ed |    | Re |    |    |    |    |   |
| st |    | es |    |    | ip | er | le |    | lv |    |    | St |    | pu |    |    |    |    |   |
| _o |    | id |    |    | ed | s  | :C |    | in |    |    | at |    | bl |    |    |    |    |   |
| f_ |    | en |    |    | ia | ph | al |    | _C |    |    | es |    | ic |    |    |    |    |   |
| Pr |    | cy |    |    | /c | ot | vi |    | oo |    |    |    |    | an |    |    |    |    |   |
| es |    | _o |    |    | om | o  | n_ |    | li |    |    |    |    | _P |    |    |    |    |   |
| id |    | f_ |    |    | mo | po | Co |    | dg |    |    |    |    | ar |    |    |    |    |   |
| en |    | Ca |    |    | ns | rt | ol |    | e  |    |    |    |    | ty |    |    |    |    |   |
| ts |    | lv |    |    | /t | ra | id |    |    |    |    |    |    | _( |    |    |    |    |   |
| _o |    | in |    |    | hu | it | ge |    |    |    |    |    |    | Un |    |    |    |    |   |
| f_ |    | _C |    |    | mb | se | ,_ |    |    |    |    |    |    | it |    |    |    |    |   |
| th |    | oo |    |    | /3 | at | bw |    |    |    |    |    |    | ed |    |    |    |    |   |
| e_ |    | li |    |    | /3 | ed | _h |    |    |    |    |    |    | _S |    |    |    |    |   |
| Un |    | dg |    |    | 7/ | ,  | ea |    |    |    |    |    |    | ta |    |    |    |    |   |
| it |    | e  |    |    | Ca | 19 | d_ |    |    |    |    |    |    | te |    |    |    |    |   |
| ed |    |    |    |    | lv | 19 | an |    |    |    |    |    |    | s) |    |    |    |    |   |
| _S |    |    |    |    | in | .j | d_ |    |    |    |    |    |    |    |    |    |    |    |   |
| ta |    |    |    |    | _C | pg | sh |    |    |    |    |    |    |    |    |    |    |    |   |
| te |    |    |    |    | oo |    | ou |    |    |    |    |    |    |    |    |    |    |    |   |
| s  |    |    |    |    | li |    | ld |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | dg |    | er |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | e% |    | s_ |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2C |    | ph |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _b |    | ot |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | w_ |    | o_ |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | he |    | po |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ad |    | rt |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _a |    | ra |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | nd |    | it |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _s |    | _s |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ho |    | ea |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ul |    | te |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | de |    | d, |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rs |    | _1 |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _p |    | 91 |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ho |    | 9. |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | to |    | jp |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _p |    | g  |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
