+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| url       | Number | Number_li | Presiden | Name     | Prior_of | Party    | Term     | Vice_Pre |
| ia.org/wi |        | ia.org/wi |  –       |  1917–19 | (Class   |          |  (1961)  | Johnson  |
| ki/List_o |        | ki/Presid | November | 63       | 1) from  |          |  (1963)  |  (Succee |
| f_Preside |        | ency_of_J | 22, 1963 |  (Lived: | Massachu |          |  [j]     | ded to p |
| nts_of_th |        | ohn_F._Ke |  (Died   | 46       | setts    |          |          | residenc |
| e_United_ |        | nnedy     | in       | years)   |  (1953–1 |          |          | y)       |
| States#Pr |        |           | office)  |  [101][1 | 960);    |          |          |          |
| esidents  |        |           |          | 02][103] | U.S.     |          |          |          |
|           |        |           |          |          | Senator  |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 36     | https://e | November | Lyndon   | 37th     | Democrat | (1960)   | Office   |
| n.wikiped |        | n.wikiped | 22, 1963 | B.       |  Vice Pr | ic       |  44      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       | Johnson  | esident  |          |  (1961)  | November |
| ki/List_o |        | ki/Presid |  January |  1908–19 | of the   |          |  (1963)  | 22, 1963 |
| f_Preside |        | ency_of_L | 20, 1969 | 73       | United   |          |  [j]     | –        |
| nts_of_th |        | yndon_B._ |          |  (Lived: | States;  |          |          | January  |
| e_United_ |        | Johnson   |          | 64       | 37th     |          |          | 20, 1965 |
| States#Pr |        |           |          | years)   |  Vice Pr |          |          |          |
| esidents  |        |           |          |  [104][1 | esident  |          |          |          |
|           |        |           |          | 05]      | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 36     | https://e | November | Lyndon   | 37th     | Democrat | (1964)   | Hubert   |
| n.wikiped |        | n.wikiped | 22, 1963 | B.       |  Vice Pr | ic       |  45      | Humphrey |
| ia.org/wi |        | ia.org/wi |  –       | Johnson  | esident  |          |  (1965)  |  January |
| ki/List_o |        | ki/Presid |  January |  1908–19 | of the   |          |          | 20, 1965 |
| f_Preside |        | ency_of_L | 20, 1969 | 73       | United   |          |          | –        |
| nts_of_th |        | yndon_B._ |          |  (Lived: | States;  |          |          | January  |
| e_United_ |        | Johnson   |          | 64       | 37th     |          |          | 20, 1969 |
| States#Pr |        |           |          | years)   |  Vice Pr |          |          |          |
| esidents  |        |           |          |  [104][1 | esident  |          |          |          |
|           |        |           |          | 05]      | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 37     | https://e | January  | Richard  | 36th     | Republic | (1968)   | Spiro    |
| n.wikiped |        | n.wikiped | 20, 1969 | Nixon    |  Vice Pr | an       |  46      | Agnew    |
| ia.org/wi |        | ia.org/wi |  –       |  1913–19 | esident  |          |  (1969)  |  January |
| ki/List_o |        | ki/Presid |  August  | 94       | of the   |          |          | 20, 1969 |
| f_Preside |        | ency_of_R | 9, 1974  |  (Lived: | United   |          |          | –        |
| nts_of_th |        | ichard_Ni |  (Resign | 81       | States   |          |          | October  |
| e_United_ |        | xon       | ed from  | years)   |  (1953–1 |          |          | 10, 1973 |
| States#Pr |        |           | office)  |  [106][1 | 961);    |          |          |  (Resign |
| esidents  |        |           |          | 07][108] | 36th     |          |          | ed from  |
|           |        |           |          |          |  Vice Pr |          |          | office)  |
|           |        |           |          |          | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 37     | https://e | January  | Richard  | 36th     | Republic | (1972)   | Spiro    |
| n.wikiped |        | n.wikiped | 20, 1969 | Nixon    |  Vice Pr | an       |  47      | Agnew    |
| ia.org/wi |        | ia.org/wi |  –       |  1913–19 | esident  |          |  (1973)  |  January |
| ki/List_o |        | ki/Presid |  August  | 94       | of the   |          |  (1974)  | 20, 1969 |
| f_Preside |        | ency_of_R | 9, 1974  |  (Lived: | United   |          |  [j]     | –        |
| nts_of_th |        | ichard_Ni |  (Resign | 81       | States   |          |          | October  |
| e_United_ |        | xon       | ed from  | years)   |  (1953–1 |          |          | 10, 1973 |
| States#Pr |        |           | office)  |  [106][1 | 961);    |          |          |  (Resign |
| esidents  |        |           |          | 07][108] | 36th     |          |          | ed from  |
|           |        |           |          |          |  Vice Pr |          |          | office)  |
|           |        |           |          |          | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 37     | https://e | January  | Richard  | 36th     | Republic | (1972)   | Office   |
| n.wikiped |        | n.wikiped | 20, 1969 | Nixon    |  Vice Pr | an       |  47      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1913–19 | esident  |          |  (1973)  |  October |
| ki/List_o |        | ki/Presid |  August  | 94       | of the   |          |  (1974)  | 10 –     |
| f_Preside |        | ency_of_R | 9, 1974  |  (Lived: | United   |          |  [j]     | December |
| nts_of_th |        | ichard_Ni |  (Resign | 81       | States   |          |          | 6, 1973  |
| e_United_ |        | xon       | ed from  | years)   |  (1953–1 |          |          |          |
| States#Pr |        |           | office)  |  [106][1 | 961);    |          |          |          |
| esidents  |        |           |          | 07][108] | 36th     |          |          |          |
|           |        |           |          |          |  Vice Pr |          |          |          |
|           |        |           |          |          | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 37     | https://e | January  | Richard  | 36th     | Republic | (1972)   | Gerald   |
| n.wikiped |        | n.wikiped | 20, 1969 | Nixon    |  Vice Pr | an       |  47      | Ford     |
| ia.org/wi |        | ia.org/wi |  –       |  1913–19 | esident  |          |  (1973)  | December |
| ki/List_o |        | ki/Presid |  August  | 94       | of the   |          |  (1974)  | 6, 1973  |
| f_Preside |        | ency_of_R | 9, 1974  |  (Lived: | United   |          |  [j]     | – August |
| nts_of_th |        | ichard_Ni |  (Resign | 81       | States   |          |          | 9, 1974  |
| e_United_ |        | xon       | ed from  | years)   |  (1953–1 |          |          |  (Succee |
| States#Pr |        |           | office)  |  [106][1 | 961);    |          |          | ded to p |
| esidents  |        |           |          | 07][108] | 36th     |          |          | residenc |
|           |        |           |          |          |  Vice Pr |          |          | y)       |
|           |        |           |          |          | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 38     | https://e | August   | Gerald   | 40th     | Republic | (1972)   | Office   |
| n.wikiped |        | n.wikiped | 9, 1974  | Ford     |  Vice Pr | an       |  47      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1913–20 | esident  |          |  (1973)  |  August  |
| ki/List_o |        | ki/Presid |  January | 06       | of the   |          |  (1974)  | 9 –      |
| f_Preside |        | ency_of_G | 20, 1977 |  (Lived: | United   |          |  [j]     | December |
| nts_of_th |        | erald_For |          | 93       | States;  |          |          | 19, 1974 |
| e_United_ |        | d         |          | years)   | 40th     |          |          |          |
| States#Pr |        |           |          |  [109][1 |  Vice Pr |          |          |          |
| esidents  |        |           |          | 10][111] | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 38     | https://e | August   | Gerald   | 40th     | Republic | Nelson R | (1972)   |
| n.wikiped |        | n.wikiped | 9, 1974  | Ford     |  Vice Pr | an       | ockefell |  47      |
| ia.org/wi |        | ia.org/wi |  –       |  1913–20 | esident  |          | er       |  (1973)  |
| ki/List_o |        | ki/Presid |  January | 06       | of the   |          | December |  (1974)  |
| f_Preside |        | ency_of_G | 20, 1977 |  (Lived: | United   |          | 19, 1974 |  [j]     |
| nts_of_th |        | erald_For |          | 93       | States;  |          | –        |          |
| e_United_ |        | d         |          | years)   | 40th     |          | January  |          |
| States#Pr |        |           |          |  [109][1 |  Vice Pr |          | 20, 1977 |          |
| esidents  |        |           |          | 10][111] | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 39     | https://e | January  | Jimmy    | 76th     | Democrat | (1976)   | Walter   |
| n.wikiped |        | n.wikiped | 20, 1977 | Carter   | Governor | ic       |  48      | Mondale  |
| ia.org/wi |        | ia.org/wi |  –       |  Born    | of       |          |  (1977)  |          |
| ki/List_o |        | ki/Presid |  January | 1924     | Georgia  |          |          |          |
| f_Preside |        | ency_of_J | 20, 1981 |  (93     |  (1971–1 |          |          |          |
| nts_of_th |        | immy_Cart |          | years    | 975);    |          |          |          |
| e_United_ |        | er        |          | old)     | 76th     |          |          |          |
| States#Pr |        |           |          |  [112][1 | Governor |          |          |          |
| esidents  |        |           |          | 13][114] | of       |          |          |          |
|           |        |           |          |          | Georgia  |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 40     | https://e | January  | Ronald   | 33rd     | Republic | (1980)   | George   |
| n.wikiped |        | n.wikiped | 20, 1981 | Reagan   | Governor | an       |  49      | H. W.    |
| ia.org/wi |        | ia.org/wi |  –       |  1911–20 | of Calif |          |  (1981)  | Bush     |
| ki/List_o |        | ki/Presid |  January | 04       | ornia    |          |          |          |
| f_Preside |        | ency_of_R | 20, 1989 |  (Lived: |  (1967–1 |          |          |          |
| nts_of_th |        | onald_Rea |          | 93       | 975);    |          |          |          |
| e_United_ |        | gan       |          | years)   | 33rd     |          |          |          |
| States#Pr |        |           |          |  [115][1 | Governor |          |          |          |
| esidents  |        |           |          | 16][117] | of Calif |          |          |          |
|           |        |           |          |          | ornia    |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 40     | https://e | January  | Ronald   | 33rd     | Republic | (1984)   | George   |
| n.wikiped |        | n.wikiped | 20, 1981 | Reagan   | Governor | an       |  50      | H. W.    |
| ia.org/wi |        | ia.org/wi |  –       |  1911–20 | of Calif |          |  (1985)  | Bush     |
| ki/List_o |        | ki/Presid |  January | 04       | ornia    |          |          |          |
| f_Preside |        | ency_of_R | 20, 1989 |  (Lived: |  (1967–1 |          |          |          |
| nts_of_th |        | onald_Rea |          | 93       | 975);    |          |          |          |
| e_United_ |        | gan       |          | years)   | 33rd     |          |          |          |
| States#Pr |        |           |          |  [115][1 | Governor |          |          |          |
| esidents  |        |           |          | 16][117] | of Calif |          |          |          |
|           |        |           |          |          | ornia    |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 41     | https://e | January  | George   | 43rd     | Republic | (1988)   | Dan      |
| n.wikiped |        | n.wikiped | 20, 1989 | H. W.    |  Vice Pr | an; Repu |  51      | Quayle   |
| ia.org/wi |        | ia.org/wi |  –       | Bush     | esident  | blican   |  (1989)  |          |
| ki/List_o |        | ki/Presid |  January |  Born    | of the   |          |          |          |
| f_Preside |        | ency_of_G | 20, 1993 | 1924     | United   |          |          |          |
| nts_of_th |        | eorge_H._ |          |  (93     | States;  |          |          |          |
| e_United_ |        | W._Bush   |          | years    | 43rd     |          |          |          |
| States#Pr |        |           |          | old)     |  Vice Pr |          |          |          |
| esidents  |        |           |          |  [118][1 | esident  |          |          |          |
|           |        |           |          | 19][120] | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 42     | https://e | January  | Bill     | 40th &   | Democrat | (1992)   | Al Gore  |
| n.wikiped |        | n.wikiped | 20, 1993 | Clinton  | 42nd     | ic       |  52      |          |
| ia.org/wi |        | ia.org/wi |  –       |  Born    | Governor |          |  (1993)  |          |
| ki/List_o |        | ki/Presid |  January | 1946     | of       |          |          |          |
| f_Preside |        | ency_of_B | 20, 2001 |  (71     | Arkansas |          |          |          |
| nts_of_th |        | ill_Clint |          | years    |  (1979–1 |          |          |          |
| e_United_ |        | on        |          | old)     | 981 & 19 |          |          |          |
| States#Pr |        |           |          |  [121][1 | 83–1992) |          |          |          |
| esidents  |        |           |          | 22][123] | ; 40th & |          |          |          |
|           |        |           |          |          | 42nd     |          |          |          |
|           |        |           |          |          | Governor |          |          |          |
|           |        |           |          |          | of       |          |          |          |
|           |        |           |          |          | Arkansas |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 42     | https://e | January  | Bill     | 40th &   | Democrat | (1996)   | Al Gore  |
| n.wikiped |        | n.wikiped | 20, 1993 | Clinton  | 42nd     | ic       |  53      |          |
| ia.org/wi |        | ia.org/wi |  –       |  Born    | Governor |          |  (1997)  |          |
| ki/List_o |        | ki/Presid |  January | 1946     | of       |          |          |          |
| f_Preside |        | ency_of_B | 20, 2001 |  (71     | Arkansas |          |          |          |
| nts_of_th |        | ill_Clint |          | years    |  (1979–1 |          |          |          |
| e_United_ |        | on        |          | old)     | 981 & 19 |          |          |          |
| States#Pr |        |           |          |  [121][1 | 83–1992) |          |          |          |
| esidents  |        |           |          | 22][123] | ; 40th & |          |          |          |
|           |        |           |          |          | 42nd     |          |          |          |
|           |        |           |          |          | Governor |          |          |          |
|           |        |           |          |          | of       |          |          |          |
|           |        |           |          |          | Arkansas |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 43     | https://e | January  | George   | 46th     | Republic | (2000)   | Dick     |
| n.wikiped |        | n.wikiped | 20, 2001 | W. Bush  | Governor | an       |  54      | Cheney   |
| ia.org/wi |        | ia.org/wi |  –       |  Born    | of Texas |          |  (2001)  |          |
| ki/List_o |        | ki/Presid |  January | 1946     |  (1995–2 |          |          |          |
| f_Preside |        | ency_of_G | 20, 2009 |  (71     | 000);    |          |          |          |
| nts_of_th |        | eorge_W._ |          | years    | 46th     |          |          |          |
| e_United_ |        | Bush      |          | old)     | Governor |          |          |          |
| States#Pr |        |           |          |  [124][1 | of Texas |          |          |          |
| esidents  |        |           |          | 25]      |          |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 43     | https://e | January  | George   | 46th     | Republic | (2004)   | Dick     |
| n.wikiped |        | n.wikiped | 20, 2001 | W. Bush  | Governor | an       |  55      | Cheney   |
| ia.org/wi |        | ia.org/wi |  –       |  Born    | of Texas |          |  (2005)  |          |
| ki/List_o |        | ki/Presid |  January | 1946     |  (1995–2 |          |          |          |
| f_Preside |        | ency_of_G | 20, 2009 |  (71     | 000);    |          |          |          |
| nts_of_th |        | eorge_W._ |          | years    | 46th     |          |          |          |
| e_United_ |        | Bush      |          | old)     | Governor |          |          |          |
| States#Pr |        |           |          |  [124][1 | of Texas |          |          |          |
| esidents  |        |           |          | 25]      |          |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 44     | https://e | January  | Barack   | U.S.     | Democrat | (2008)   | Joe      |
| n.wikiped |        | n.wikiped | 20, 2009 | Obama    | Senator  | ic       |  56      | Biden    |
| ia.org/wi |        | ia.org/wi |  –       |  Born    | (Class   |          |  (2009)  |          |
| ki/List_o |        | ki/Presid |  January | 1961     | 3) from  |          |          |          |
| f_Preside |        | ency_of_B | 20, 2017 |  (56     | Illinois |          |          |          |
| nts_of_th |        | arack_Oba |          | years    |  (2005–2 |          |          |          |
| e_United_ |        | ma        |          | old)     | 008);    |          |          |          |
| States#Pr |        |           |          |  [126][1 | U.S.     |          |          |          |
| esidents  |        |           |          | 27]      | Senator  |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 44     | https://e | January  | Barack   | U.S.     | Democrat | (2012)   | Joe      |
| n.wikiped |        | n.wikiped | 20, 2009 | Obama    | Senator  | ic       |  57      | Biden    |
| ia.org/wi |        | ia.org/wi |  –       |  Born    | (Class   |          |  (2013)  |          |
| ki/List_o |        | ki/Presid |  January | 1961     | 3) from  |          |          |          |
| f_Preside |        | ency_of_B | 20, 2017 |  (56     | Illinois |          |          |          |
| nts_of_th |        | arack_Oba |          | years    |  (2005–2 |          |          |          |
| e_United_ |        | ma        |          | old)     | 008);    |          |          |          |
| States#Pr |        |           |          |  [126][1 | U.S.     |          |          |          |
| esidents  |        |           |          | 27]      | Senator  |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 45     | https://e | January  | Donald   | Chairman | Republic | (2016)   | Mike     |
| n.wikiped |        | n.wikiped | 20, 2017 | Trump    | of       | an       |  58      | Pence    |
| ia.org/wi |        | ia.org/wi |  –       |  Born    |  The     |          |  (2017)  |          |
| ki/List_o |        | ki/Presid |  Incumbe | 1946     | Trump Or |          |          |          |
| f_Preside |        | ency_of_D | nt       |  (71     | ganizati |          |          |          |
| nts_of_th |        | onald_Tru |          | years    | on       |          |          |          |
| e_United_ |        | mp        |          | old)     |  (1971–2 |          |          |          |
| States#Pr |        |           |          |  [128][1 | 017)     |          |          |          |
| esidents  |        |           |          | 29]      |  (No     |          |          |          |
|           |        |           |          |          | prior    |          |          |          |
|           |        |           |          |          | elected  |          |          |          |
|           |        |           |          |          | office); |          |          |          |
|           |        |           |          |          | The      |          |          |          |
|           |        |           |          |          | Trump Or |          |          |          |
|           |        |           |          |          | ganizati |          |          |          |
|           |        |           |          |          | on       |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
