+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| url  | Numb | Pres | Pres | Pres | Pres | Date | Live | Prio | Par | Par | Beg | Ter | End | Vic |
| i/Li |      |      |      |      | i/Ul |      |      | U.S. |     | org |     |     |     | of  |
| st_o |      |      |      |      | ysse |      |      | Army |     | /wi |     |     |     | Wil |
| f_Pr |      |      |      |      | s_S. |      |      |  (18 |     | ki/ |     |     |     | son |
| esid |      |      |      |      | _Gra |      |      | 64–1 |     | Rep |     |     |     | 's  |
| ents |      |      |      |      | nt   |      |      | 869) |     | ubl |     |     |     | ter |
| _of_ |      |      |      |      |      |      |      |  (No |     | ica |     |     |     | m)  |
| the_ |      |      |      |      |      |      |      | prio |     | n_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      | r el |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      | ecte |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      | d of |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      | fice |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      | )    |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 19   | Marc | Marc | Ruth | http | 1822 | (Liv | 29th | Rep | htt | (18 | 23  | (18 | Wil |
| s:// |      | h 4, | h 4, | erfo | s:// | –189 | ed:  | &    | ubl | ps: | 76) |     | 77) | lia |
| en.w |      | 1877 | 1881 | rd   | en.w | 3    | 70 y | 32nd | ica | //e |     |     |     | m   |
| ikip |      |      |      | B. H | ikip |      | ears |  Gov | n   | n.w |     |     |     | A.  |
| edia |      |      |      | ayes | edia |      | )    | erno |     | iki |     |     |     | Whe |
| .org |      |      |      |      | .org |      |      | r of |     | ped |     |     |     | ele |
| /wik |      |      |      |      | /wik |      |      | Ohio |     | ia. |     |     |     | r   |
| i/Li |      |      |      |      | i/Ru |      |      |  (18 |     | org |     |     |     |     |
| st_o |      |      |      |      | ther |      |      | 68–1 |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | ford |      |      | 872  |     | ki/ |     |     |     |     |
| esid |      |      |      |      | _B._ |      |      | & 18 |     | Rep |     |     |     |     |
| ents |      |      |      |      | Haye |      |      | 76–1 |     | ubl |     |     |     |     |
| _of_ |      |      |      |      | s    |      |      | 877) |     | ica |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | n_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 20   | Marc | Sept | Jame | http | 1831 | (Liv | U.S. | Rep | htt | (18 | 24  | (18 | Che |
| s:// |      | h 4, | embe | s A. | s:// | –188 | ed:  | Repr | ubl | ps: | 80) |     | 81) | ste |
| en.w |      | 1881 | r    | Garf | en.w | 1    | 49 y | esen | ica | //e |     |     |  (1 | r   |
| ikip |      |      | 19,  | ield | ikip |      | ears | tati | n   | n.w |     |     | 881 | A.  |
| edia |      |      | 1881 |      | edia |      | )    | ve   |     | iki |     |     | )   | Art |
| .org |      |      |      |      | .org |      |      | for  |     | ped |     |     |     | hur |
| /wik |      |      |      |      | /wik |      |      | Ohio |     | ia. |     |     |     |  (S |
| i/Li |      |      |      |      | i/Ja |      |      | 's   |     | org |     |     |     | ucc |
| st_o |      |      |      |      | mes_ |      |      | 19th |     | /wi |     |     |     | eed |
| f_Pr |      |      |      |      | A._G |      |      | Dist |     | ki/ |     |     |     | ed  |
| esid |      |      |      |      | arfi |      |      | rict |     | Rep |     |     |     | to  |
| ents |      |      |      |      | eld  |      |      |  (18 |     | ubl |     |     |     | pre |
| _of_ |      |      |      |      |      |      |      | 63–1 |     | ica |     |     |     | sid |
| the_ |      |      |      |      |      |      |      | 881) |     | n_P |     |     |     | enc |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     | y)  |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 21   | Sept | Marc | Ches | http | 1829 | (Liv | 20th | Rep | htt | (18 | 24  | (18 | Off |
| s:// |      | embe | h 4, | ter  | s:// | –188 | ed:  | Vice | ubl | ps: | 80) |     | 81) | ice |
| en.w |      | r    | 1885 | A. A | en.w | 6    | 57 y | Pres | ica | //e |     |     |  (1 | vac |
| ikip |      | 19,  |      | rthu | ikip |      | ears | iden | n   | n.w |     |     | 881 | ant |
| edia |      | 1881 |      | r    | edia |      | )    | t of |     | iki |     |     | )   |     |
| .org |      |  [p] |      |      | .org |      |      | the  |     | ped |     |     |     |     |
| /wik |      |      |      |      | /wik |      |      | Unit |     | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/Ch |      |      | ed S |     | org |     |     |     |     |
| st_o |      |      |      |      | este |      |      | tate |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | r_A. |      |      | s    |     | ki/ |     |     |     |     |
| esid |      |      |      |      | _Art |      |      |      |     | Rep |     |     |     |     |
| ents |      |      |      |      | hur  |      |      |      |     | ubl |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | ica |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | n_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 22   | Marc | Marc | Grov | http | 1837 | (Liv | 28th | Dem | htt | (18 | 25  | (18 | Tho |
| s:// |      | h 4, | h 4, | er C | s:// | –190 | ed:  |  Gov | ocr | ps: | 84) |     | 85) | mas |
| en.w |      | 1885 | 1889 | leve | en.w | 8    | 71 y | erno | ati | //e |     |     |     | A.  |
| ikip |      |      |      | land | ikip |      | ears | r of | c   | n.w |     |     |     | Hen |
| edia |      |      |      |      | edia |      | )    | New  |     | iki |     |     |     | dri |
| .org |      |      |      |      | .org |      |      | York |     | ped |     |     |     | cks |
| /wik |      |      |      |      | /wik |      |      |  (18 |     | ia. |     |     |     |  Ma |
| i/Li |      |      |      |      | i/Gr |      |      | 83–1 |     | org |     |     |     | rch |
| st_o |      |      |      |      | over |      |      | 885) |     | /wi |     |     |     | 4 – |
| f_Pr |      |      |      |      | _Cle |      |      |      |     | ki/ |     |     |     | Nov |
| esid |      |      |      |      | vela |      |      |      |     | Dem |     |     |     | emb |
| ents |      |      |      |      | nd   |      |      |      |     | ocr |     |     |     | er  |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     | 25, |
| the_ |      |      |      |      |      |      |      |      |     | c_P |     |     |     | 188 |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     | 5   |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |  (D |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     | ied |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     | in  |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     | off |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     | ice |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     | )   |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 22   | Marc | Marc | Grov | http | 1837 | (Liv | 28th | Dem | htt | (18 | 25  | (18 | Off |
| s:// |      | h 4, | h 4, | er C | s:// | –190 | ed:  |  Gov | ocr | ps: | 84) |     | 85) | ice |
| en.w |      | 1885 | 1889 | leve | en.w | 8    | 71 y | erno | ati | //e |     |     |     | vac |
| ikip |      |      |      | land | ikip |      | ears | r of | c   | n.w |     |     |     | ant |
| edia |      |      |      |      | edia |      | )    | New  |     | iki |     |     |     |  (B |
| .org |      |      |      |      | .org |      |      | York |     | ped |     |     |     | ala |
| /wik |      |      |      |      | /wik |      |      |  (18 |     | ia. |     |     |     | nce |
| i/Li |      |      |      |      | i/Gr |      |      | 83–1 |     | org |     |     |     | of  |
| st_o |      |      |      |      | over |      |      | 885) |     | /wi |     |     |     | Hen |
| f_Pr |      |      |      |      | _Cle |      |      |      |     | ki/ |     |     |     | dri |
| esid |      |      |      |      | vela |      |      |      |     | Dem |     |     |     | cks |
| ents |      |      |      |      | nd   |      |      |      |     | ocr |     |     |     | 's  |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     | ter |
| the_ |      |      |      |      |      |      |      |      |     | c_P |     |     |     | m)  |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 23   | Marc | Marc | Benj | http | 1833 | (Liv | U.S. | Rep | htt | (18 | 26  | (18 | Lev |
| s:// |      | h 4, | h 4, | amin | s:// | –190 | ed:  | Sena | ubl | ps: | 88) |     | 89) | i   |
| en.w |      | 1889 | 1893 | Harr | en.w | 1    | 67 y | tor  | ica | //e |     |     |     | P.  |
| ikip |      |      |      | ison | ikip |      | ears | (Cla | n   | n.w |     |     |     | Mor |
| edia |      |      |      |      | edia |      | )    | ss   |     | iki |     |     |     | ton |
| .org |      |      |      |      | .org |      |      | 1)   |     | ped |     |     |     |     |
| /wik |      |      |      |      | /wik |      |      | from |     | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/Be |      |      | Indi |     | org |     |     |     |     |
| st_o |      |      |      |      | njam |      |      | ana  |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | in_H |      |      |  (18 |     | ki/ |     |     |     |     |
| esid |      |      |      |      | arri |      |      | 81–1 |     | Rep |     |     |     |     |
| ents |      |      |      |      | son  |      |      | 887) |     | ubl |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | ica |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | n_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 24   | Marc | Marc | Grov | http | 1837 | (Liv | 22nd | Dem | htt | (18 | 27  | (18 | Adl |
| s:// |      | h 4, | h 4, | er C | s:// | –190 | ed:  |  Pre | ocr | ps: | 92) |     | 93) | ai  |
| en.w |      | 1893 | 1897 | leve | en.w | 8    | 71 y | side | ati | //e |     |     |     | Ste |
| ikip |      |      |      | land | ikip |      | ears | nt   | c   | n.w |     |     |     | ven |
| edia |      |      |      |      | edia |      | )    | of   |     | iki |     |     |     | son |
| .org |      |      |      |      | .org |      |      | the  |     | ped |     |     |     |     |
| /wik |      |      |      |      | /wik |      |      | Unit |     | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/Gr |      |      | ed S |     | org |     |     |     |     |
| st_o |      |      |      |      | over |      |      | tate |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | _Cle |      |      | s    |     | ki/ |     |     |     |     |
| esid |      |      |      |      | vela |      |      |  (18 |     | Dem |     |     |     |     |
| ents |      |      |      |      | nd   |      |      | 85–1 |     | ocr |     |     |     |     |
| _of_ |      |      |      |      |      |      |      | 889) |     | ati |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | c_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 25   | Marc | Sept | Will | http | 1843 | (Liv | 39th | Rep | htt | (18 | 28  | (18 | Gar |
| s:// |      | h 4, | embe | iam  | s:// | –190 | ed:  |  Gov | ubl | ps: | 96) |     | 97) | ret |
| en.w |      | 1897 | r    | McKi | en.w | 1    | 58 y | erno | ica | //e |     |     |     | Hob |
| ikip |      |      | 14,  | nley | ikip |      | ears | r of | n   | n.w |     |     |     | art |
| edia |      |      | 1901 |      | edia |      | )    | Ohio |     | iki |     |     |     |  Ma |
| .org |      |      |      |      | .org |      |      |  (18 |     | ped |     |     |     | rch |
| /wik |      |      |      |      | /wik |      |      | 92–1 |     | ia. |     |     |     | 4,  |
| i/Li |      |      |      |      | i/Wi |      |      | 896) |     | org |     |     |     | 189 |
| st_o |      |      |      |      | llia |      |      |      |     | /wi |     |     |     | 7 – |
| f_Pr |      |      |      |      | m_Mc |      |      |      |     | ki/ |     |     |     | Nov |
| esid |      |      |      |      | Kinl |      |      |      |     | Rep |     |     |     | emb |
| ents |      |      |      |      | ey   |      |      |      |     | ubl |     |     |     | er  |
| _of_ |      |      |      |      |      |      |      |      |     | ica |     |     |     | 21, |
| the_ |      |      |      |      |      |      |      |      |     | n_P |     |     |     | 189 |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     | 9   |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |  (D |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     | ied |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     | in  |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     | off |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     | ice |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     | )   |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 25   | Marc | Sept | Will | http | 1843 | (Liv | 39th | Rep | htt | (18 | 28  | (18 | Off |
| s:// |      | h 4, | embe | iam  | s:// | –190 | ed:  |  Gov | ubl | ps: | 96) |     | 97) | ice |
| en.w |      | 1897 | r    | McKi | en.w | 1    | 58 y | erno | ica | //e |     |     |     | vac |
| ikip |      |      | 14,  | nley | ikip |      | ears | r of | n   | n.w |     |     |     | ant |
| edia |      |      | 1901 |      | edia |      | )    | Ohio |     | iki |     |     |     |  (B |
| .org |      |      |      |      | .org |      |      |  (18 |     | ped |     |     |     | ala |
| /wik |      |      |      |      | /wik |      |      | 92–1 |     | ia. |     |     |     | nce |
| i/Li |      |      |      |      | i/Wi |      |      | 896) |     | org |     |     |     | of  |
| st_o |      |      |      |      | llia |      |      |      |     | /wi |     |     |     | Hob |
| f_Pr |      |      |      |      | m_Mc |      |      |      |     | ki/ |     |     |     | art |
| esid |      |      |      |      | Kinl |      |      |      |     | Rep |     |     |     | 's  |
| ents |      |      |      |      | ey   |      |      |      |     | ubl |     |     |     | ter |
| _of_ |      |      |      |      |      |      |      |      |     | ica |     |     |     | m)  |
| the_ |      |      |      |      |      |      |      |      |     | n_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 25   | Marc | Sept | Will | http | 1843 | (Liv | 39th | Rep | htt | (19 | 29  | (19 | The |
| s:// |      | h 4, | embe | iam  | s:// | –190 | ed:  |  Gov | ubl | ps: | 00) |     | 01) | odo |
| en.w |      | 1897 | r    | McKi | en.w | 1    | 58 y | erno | ica | //e |     |     |  (1 | re  |
| ikip |      |      | 14,  | nley | ikip |      | ears | r of | n   | n.w |     |     | 901 | Roo |
| edia |      |      | 1901 |      | edia |      | )    | Ohio |     | iki |     |     | )   | sev |
| .org |      |      |      |      | .org |      |      |  (18 |     | ped |     |     |     | elt |
| /wik |      |      |      |      | /wik |      |      | 92–1 |     | ia. |     |     |     |  Ma |
| i/Li |      |      |      |      | i/Wi |      |      | 896) |     | org |     |     |     | rch |
| st_o |      |      |      |      | llia |      |      |      |     | /wi |     |     |     | 4 – |
| f_Pr |      |      |      |      | m_Mc |      |      |      |     | ki/ |     |     |     | Sep |
| esid |      |      |      |      | Kinl |      |      |      |     | Rep |     |     |     | tem |
| ents |      |      |      |      | ey   |      |      |      |     | ubl |     |     |     | ber |
| _of_ |      |      |      |      |      |      |      |      |     | ica |     |     |     | 14, |
| the_ |      |      |      |      |      |      |      |      |     | n_P |     |     |     | 190 |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     | 1   |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |  (S |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     | ucc |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     | eed |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     | ed  |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     | to  |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     | pre |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | sid |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | enc |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | y)  |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 26   | Sept | Marc | Theo | http | 1858 | (Liv | 25th | Rep | htt | (19 | 29  | (19 | Off |
| s:// |      | embe | h 4, | dore | s:// | –191 | ed:  | Vice | ubl | ps: | 00) |     | 01) | ice |
| en.w |      | r    | 1909 | Roos | en.w | 9    | 60 y | Pres | ica | //e |     |     |  (1 | vac |
| ikip |      | 14,  |      | evel | ikip |      | ears | iden | n   | n.w |     |     | 901 | ant |
| edia |      | 1901 |      | t    | edia |      | )    | t of |     | iki |     |     | )   |  Se |
| .org |      |      |      |      | .org |      |      | the  |     | ped |     |     |     | pte |
| /wik |      |      |      |      | /wik |      |      | Unit |     | ia. |     |     |     | mbe |
| i/Li |      |      |      |      | i/Th |      |      | ed S |     | org |     |     |     | r   |
| st_o |      |      |      |      | eodo |      |      | tate |     | /wi |     |     |     | 14, |
| f_Pr |      |      |      |      | re_R |      |      | s    |     | ki/ |     |     |     | 190 |
| esid |      |      |      |      | oose |      |      |      |     | Rep |     |     |     | 1 – |
| ents |      |      |      |      | velt |      |      |      |     | ubl |     |     |     | Mar |
| _of_ |      |      |      |      |      |      |      |      |     | ica |     |     |     | ch  |
| the_ |      |      |      |      |      |      |      |      |     | n_P |     |     |     | 4,  |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     | 190 |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     | 5   |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 26   | Sept | Marc | Theo | http | 1858 | (Liv | 25th | Rep | htt | (19 | 30  | (19 | Cha |
| s:// |      | embe | h 4, | dore | s:// | –191 | ed:  | Vice | ubl | ps: | 04) |     | 05) | rle |
| en.w |      | r    | 1909 | Roos | en.w | 9    | 60 y | Pres | ica | //e |     |     |     | s   |
| ikip |      | 14,  |      | evel | ikip |      | ears | iden | n   | n.w |     |     |     | W.  |
| edia |      | 1901 |      | t    | edia |      | )    | t of |     | iki |     |     |     | Fai |
| .org |      |      |      |      | .org |      |      | the  |     | ped |     |     |     | rba |
| /wik |      |      |      |      | /wik |      |      | Unit |     | ia. |     |     |     | nks |
| i/Li |      |      |      |      | i/Th |      |      | ed S |     | org |     |     |     |  Ma |
| st_o |      |      |      |      | eodo |      |      | tate |     | /wi |     |     |     | rch |
| f_Pr |      |      |      |      | re_R |      |      | s    |     | ki/ |     |     |     | 4,  |
| esid |      |      |      |      | oose |      |      |      |     | Rep |     |     |     | 190 |
| ents |      |      |      |      | velt |      |      |      |     | ubl |     |     |     | 5 – |
| _of_ |      |      |      |      |      |      |      |      |     | ica |     |     |     | Mar |
| the_ |      |      |      |      |      |      |      |      |     | n_P |     |     |     | ch  |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     | 4,  |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     | 190 |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     | 9   |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 27   | Marc | Marc | Will | http | 1857 | (Liv | 42nd | Rep | htt | (19 | 31  | (19 | Jam |
| s:// |      | h 4, | h 4, | iam  | s:// | –193 | ed:  |  Uni | ubl | ps: | 08) |     | 09) | es  |
| en.w |      | 1909 | 1913 | Howa | en.w | 0    | 72 y | ted  | ica | //e |     |     |     | S.  |
| ikip |      |      |      | rd   | ikip |      | ears | Stat | n   | n.w |     |     |     | She |
| edia |      |      |      | Taft | edia |      | )    | es S |     | iki |     |     |     | rma |
| .org |      |      |      |      | .org |      |      | ecre |     | ped |     |     |     | n   |
| /wik |      |      |      |      | /wik |      |      | tary |     | ia. |     |     |     |  Ma |
| i/Li |      |      |      |      | i/Wi |      |      | of   |     | org |     |     |     | rch |
| st_o |      |      |      |      | llia |      |      | War  |     | /wi |     |     |     | 4,  |
| f_Pr |      |      |      |      | m_Ho |      |      |  (19 |     | ki/ |     |     |     | 190 |
| esid |      |      |      |      | ward |      |      | 04–1 |     | Rep |     |     |     | 9 – |
| ents |      |      |      |      | _Taf |      |      | 908) |     | ubl |     |     |     | Oct |
| _of_ |      |      |      |      | t    |      |      |      |     | ica |     |     |     | obe |
| the_ |      |      |      |      |      |      |      |      |     | n_P |     |     |     | r   |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     | 30, |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     | 191 |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     | 2   |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |  (D |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     | ied |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     | in  |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     | off |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | ice |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | )   |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 27   | Marc | Marc | Will | http | 1857 | (Liv | 42nd | Rep | htt | (19 | 31  | (19 | Off |
| s:// |      | h 4, | h 4, | iam  | s:// | –193 | ed:  |  Uni | ubl | ps: | 08) |     | 09) | ice |
| en.w |      | 1909 | 1913 | Howa | en.w | 0    | 72 y | ted  | ica | //e |     |     |     | vac |
| ikip |      |      |      | rd   | ikip |      | ears | Stat | n   | n.w |     |     |     | ant |
| edia |      |      |      | Taft | edia |      | )    | es S |     | iki |     |     |     |  (B |
| .org |      |      |      |      | .org |      |      | ecre |     | ped |     |     |     | ala |
| /wik |      |      |      |      | /wik |      |      | tary |     | ia. |     |     |     | nce |
| i/Li |      |      |      |      | i/Wi |      |      | of   |     | org |     |     |     | of  |
| st_o |      |      |      |      | llia |      |      | War  |     | /wi |     |     |     | She |
| f_Pr |      |      |      |      | m_Ho |      |      |  (19 |     | ki/ |     |     |     | rma |
| esid |      |      |      |      | ward |      |      | 04–1 |     | Rep |     |     |     | n's |
| ents |      |      |      |      | _Taf |      |      | 908) |     | ubl |     |     |     | ter |
| _of_ |      |      |      |      | t    |      |      |      |     | ica |     |     |     | m)  |
| the_ |      |      |      |      |      |      |      |      |     | n_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 28   | Marc | Marc | Wood | http | 1856 | (Liv | 34th | Dem | htt | (19 | 32  | (19 | Tho |
| s:// |      | h 4, | h 4, | row  | s:// | –192 | ed:  |  Gov | ocr | ps: | 12) |     | 13) | mas |
| en.w |      | 1913 | 1921 | Wils | en.w | 4    | 67 y | erno | ati | //e |     |     |     | R.  |
| ikip |      |      |      | on   | ikip |      | ears | r of | c   | n.w |     |     |     | Mar |
| edia |      |      |      |      | edia |      | )    | New  |     | iki |     |     |     | sha |
| .org |      |      |      |      | .org |      |      | Jers |     | ped |     |     |     | ll  |
| /wik |      |      |      |      | /wik |      |      | ey   |     | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/Wo |      |      |  (19 |     | org |     |     |     |     |
| st_o |      |      |      |      | odro |      |      | 11–1 |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | w_Wi |      |      | 913) |     | ki/ |     |     |     |     |
| esid |      |      |      |      | lson |      |      |      |     | Dem |     |     |     |     |
| ents |      |      |      |      |      |      |      |      |     | ocr |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     |     |
