+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| url    | Rank | Mounta | Height | Height | Promi | Range | Coord | Paren | First | Ascen | Count |
| //en.w |      | Sar    |        |        |       | a Kar | ′16″N | a Sar |       |       | tan[d |
| ikiped |      |        |        |        |       | akora | 74°35 |       |       |       | p 1]  |
| ia.org |      |        |        |        |       | m     | ′16″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 36. |       |       |       |       |
| List_o |      |        |        |        |       |       | 48778 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 74 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .5877 |       |       |       |       |
| untain |      |        |        |        |       |       | 8°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 36.48 |       |       |       |       |
| arth   |      |        |        |        |       |       | 778;  |       |       |       |       |
|        |      |        |        |        |       |       | 74.58 |       |       |       |       |
|        |      |        |        |        |       |       | 778   |       |       |       |       |
|        |      |        |        |        |       |       | (54.  |       |       |       |       |
|        |      |        |        |        |       |       | Passu |       |       |       |       |
|        |      |        |        |        |       |       | Sar   |       |       |       |       |
|        |      |        |        |        |       |       | (7476 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 55   | Yukshi | 7,469  | 24,505 | 1,374 | Hispa | 36°15 | Pumar | 1984  | 4 (1) | Pakis |
| //en.w |      | n      |        |        |       | r Kar | ′04″N | i Chh |       |       | tan[d |
| ikiped |      | Gardan |        |        |       | akora | 75°22 | ish   |       |       | p 1]  |
| ia.org |      | Sar    |        |        |       | m     | ′29″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 36. |       |       |       |       |
| List_o |      |        |        |        |       |       | 25111 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 75 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .3747 |       |       |       |       |
| untain |      |        |        |        |       |       | 2°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 36.25 |       |       |       |       |
| arth   |      |        |        |        |       |       | 111;  |       |       |       |       |
|        |      |        |        |        |       |       | 75.37 |       |       |       |       |
|        |      |        |        |        |       |       | 472   |       |       |       |       |
|        |      |        |        |        |       |       | (55.  |       |       |       |       |
|        |      |        |        |        |       |       | Yuksh |       |       |       |       |
|        |      |        |        |        |       |       | in Ga |       |       |       |       |
|        |      |        |        |        |       |       | rdan  |       |       |       |       |
|        |      |        |        |        |       |       | Sar   |       |       |       |       |
|        |      |        |        |        |       |       | (7469 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 56   | Teram  | 7,462  | 24,482 | 1,703 | Siach | 35°34 | Gashe | 1975  | 2 (0) | India |
| //en.w |      | Kangri |        |        |       | en Ka | ′48″N | rbrum |       |       | • Chi |
| ikiped |      | I      |        |        |       | rakor | 77°04 | I     |       |       | na[dp |
| ia.org |      |        |        |        |       | am    | ′42″E |       |       |       | 2][dp |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       | 3]    |
| List_o |      |        |        |        |       |       | 58000 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 77 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .0783 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.58 |       |       |       |       |
| arth   |      |        |        |        |       |       | 000;  |       |       |       |       |
|        |      |        |        |        |       |       | 77.07 |       |       |       |       |
|        |      |        |        |        |       |       | 833   |       |       |       |       |
|        |      |        |        |        |       |       | (56.  |       |       |       |       |
|        |      |        |        |        |       |       | Teram |       |       |       |       |
|        |      |        |        |        |       |       | Kangr |       |       |       |       |
|        |      |        |        |        |       |       | i I   |       |       |       |       |
|        |      |        |        |        |       |       | (7462 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 57   | Jongso | 7,462  | 24,482 | 1,298 | Kangc | 27°52 | Kangc | 1930  | 2 (3) | India |
| //en.w |      | ng     |        |        |       | henju | ′54″N | henju |       |       | •     |
| ikiped |      | Peak   |        |        |       | nga H | 88°08 | nga   |       |       | China |
| ia.org |      |        |        |        |       | imala | ′09″E |       |       |       | •     |
| /wiki/ |      |        |        |        |       | ya    | / 27. |       |       |       | Nepal |
| List_o |      |        |        |        |       |       | 88167 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 88 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .1358 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 27.88 |       |       |       |       |
| arth   |      |        |        |        |       |       | 167;  |       |       |       |       |
|        |      |        |        |        |       |       | 88.13 |       |       |       |       |
|        |      |        |        |        |       |       | 583   |       |       |       |       |
|        |      |        |        |        |       |       | (57.  |       |       |       |       |
|        |      |        |        |        |       |       | Jongs |       |       |       |       |
|        |      |        |        |        |       |       | ong   |       |       |       |       |
|        |      |        |        |        |       |       | Peak  |       |       |       |       |
|        |      |        |        |        |       |       | (7462 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 58   | Malubi | 7,458  | 24,469 | 2,193 | Rakap | 36°00 | Rakap | 1971  | 2 (6) | Pakis |
| //en.w |      | ting   |        |        |       | oshi- | ′12″N | oshi  |       |       | tan[d |
| ikiped |      |        |        |        |       | Haram | 74°52 |       |       |       | p 1]  |
| ia.org |      |        |        |        |       | osh K | ′31″E |       |       |       |       |
| /wiki/ |      |        |        |        |       | arako | / 36. |       |       |       |       |
| List_o |      |        |        |        |       | ram   | 00333 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 74 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .8752 |       |       |       |       |
| untain |      |        |        |        |       |       | 8°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 36.00 |       |       |       |       |
| arth   |      |        |        |        |       |       | 333;  |       |       |       |       |
|        |      |        |        |        |       |       | 74.87 |       |       |       |       |
|        |      |        |        |        |       |       | 528   |       |       |       |       |
|        |      |        |        |        |       |       | (58.  |       |       |       |       |
|        |      |        |        |        |       |       | Malub |       |       |       |       |
|        |      |        |        |        |       |       | iting |       |       |       |       |
|        |      |        |        |        |       |       | (7458 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 59   | Gangap | 7,455  | 24,459 | 563   | Annap | 28°36 | Annap | 1965  | 8     | Nepal |
| //en.w |      | urna   |        |        |       | urna  | ′18″N | urna  |       | (13)  |       |
| ikiped |      |        |        |        |       | Himal | 83°57 | III   |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′49″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 60500 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 83 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .9636 |       |       |       |       |
| untain |      |        |        |        |       |       | 1°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.60 |       |       |       |       |
| arth   |      |        |        |        |       |       | 500;  |       |       |       |       |
|        |      |        |        |        |       |       | 83.96 |       |       |       |       |
|        |      |        |        |        |       |       | 361   |       |       |       |       |
|        |      |        |        |        |       |       | (59.  |       |       |       |       |
|        |      |        |        |        |       |       | Ganga |       |       |       |       |
|        |      |        |        |        |       |       | purna |       |       |       |       |
|        |      |        |        |        |       |       | (7455 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 60   | Jengis | 7,439  | 24,406 | 4,148 | Tian  | 42°02 | Ismai | 1956  |       | Kyrgy |
| //en.w |      | h Chok |        |        |       | Shan  | ′05″N | l Sam |       |       | zstan |
| ikiped |      | usu /  |        |        |       |       | 80°07 | ani   |       |       | •     |
| ia.org |      |  Tömür |        |        |       |       | ′47″E | Peak  |       |       | China |
| /wiki/ |      | / Pk   |        |        |       |       | / 42. |       |       |       |       |
| List_o |      | Pobeda |        |        |       |       | 03472 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 80 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .1297 |       |       |       |       |
| untain |      |        |        |        |       |       | 2°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 42.03 |       |       |       |       |
| arth   |      |        |        |        |       |       | 472;  |       |       |       |       |
|        |      |        |        |        |       |       | 80.12 |       |       |       |       |
|        |      |        |        |        |       |       | 972   |       |       |       |       |
|        |      |        |        |        |       |       | (60.  |       |       |       |       |
|        |      |        |        |        |       |       | Jengi |       |       |       |       |
|        |      |        |        |        |       |       | sh Ch |       |       |       |       |
|        |      |        |        |        |       |       | okusu |       |       |       |       |
|        |      |        |        |        |       |       | /     |       |       |       |       |
|        |      |        |        |        |       |       | Tömür |       |       |       |       |
|        |      |        |        |        |       |       | / Pk  |       |       |       |       |
|        |      |        |        |        |       |       | Pobed |       |       |       |       |
|        |      |        |        |        |       |       | a     |       |       |       |       |
|        |      |        |        |        |       |       | (7439 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 115  | Sunand | 7,434  | 24,390 | 229   | Garhw | 30°22 | Nanda | 1939  | 14    | India |
| //en.w |      | a Devi |        |        |       | al Hi | ′00″N | Devi  |       | (12)  |       |
| ikiped |      | /      |        |        |       | malay | 79°59 |       |       |       |       |
| ia.org |      | Nanda  |        |        |       | a     | ′40″E |       |       |       |       |
| /wiki/ |      | Devi   |        |        |       |       | / 30. |       |       |       |       |
| List_o |      | East   |        |        |       |       | 36667 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 79 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .9944 |       |       |       |       |
| untain |      |        |        |        |       |       | 4°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 30.36 |       |       |       |       |
| arth   |      |        |        |        |       |       | 667;  |       |       |       |       |
|        |      |        |        |        |       |       | 79.99 |       |       |       |       |
|        |      |        |        |        |       |       | 444 ( |       |       |       |       |
|        |      |        |        |        |       |       | Sunan |       |       |       |       |
|        |      |        |        |        |       |       | da    |       |       |       |       |
|        |      |        |        |        |       |       | Devi  |       |       |       |       |
|        |      |        |        |        |       |       | (7434 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 61   | K12    | 7,428  | 24,370 | 1,978 | Salto | 35°17 | Salto | 1974  | 4 (2) | India |
| //en.w |      |        |        |        |       | ro Ka | ′45″N | ro Ka |       |       | • Pak |
| ikiped |      |        |        |        |       | rakor | 77°01 | ngri  |       |       | istan |
| ia.org |      |        |        |        |       | am    | ′20″E |       |       |       | [dp   |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       | 1][dp |
| List_o |      |        |        |        |       |       | 29583 |       |       |       | 3]    |
| f_high |      |        |        |        |       |       | °N 77 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .0222 |       |       |       |       |
| untain |      |        |        |        |       |       | 2°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.29 |       |       |       |       |
| arth   |      |        |        |        |       |       | 583;  |       |       |       |       |
|        |      |        |        |        |       |       | 77.02 |       |       |       |       |
|        |      |        |        |        |       |       | 222   |       |       |       |       |
|        |      |        |        |        |       |       | (61.  |       |       |       |       |
|        |      |        |        |        |       |       | K12   |       |       |       |       |
|        |      |        |        |        |       |       | (7428 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 62   | Yangra | 7,422  | 24,350 | 2,352 | Ganes | 28°23 | Manas | 1955  | 1 (6) | Nepal |
| //en.w |      | /      |        |        |       | h Him | ′29″N | lu    |       |       | •     |
| ikiped |      | Ganesh |        |        |       | alaya | 85°07 |       |       |       | China |
| ia.org |      | I      |        |        |       |       | ′38″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 39139 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 85 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .1272 |       |       |       |       |
| untain |      |        |        |        |       |       | 2°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.39 |       |       |       |       |
| arth   |      |        |        |        |       |       | 139;  |       |       |       |       |
|        |      |        |        |        |       |       | 85.12 |       |       |       |       |
|        |      |        |        |        |       |       | 722   |       |       |       |       |
|        |      |        |        |        |       |       | (62.  |       |       |       |       |
|        |      |        |        |        |       |       | Yangr |       |       |       |       |
|        |      |        |        |        |       |       | a / G |       |       |       |       |
|        |      |        |        |        |       |       | anesh |       |       |       |       |
|        |      |        |        |        |       |       | I     |       |       |       |       |
|        |      |        |        |        |       |       | (7422 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 63   | Sia    | 7,422  | 24,350 | 642   | Siach | 35°39 | Gashe | 1934  | 6 (0) | Pakis |
| //en.w |      | Kangri |        |        |       | en Ka | ′48″N | rbrum |       |       | tan • |
| ikiped |      |        |        |        |       | rakor | 76°45 | I     |       |       | India |
| ia.org |      |        |        |        |       | am    | ′42″E |       |       |       | • Chi |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       | na[dp |
| List_o |      |        |        |        |       |       | 66333 |       |       |       | 2][dp |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       | 3]    |
| est_mo |      |        |        |        |       |       | .7616 |       |       |       |       |
| untain |      |        |        |        |       |       | 7°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.66 |       |       |       |       |
| arth   |      |        |        |        |       |       | 333;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.76 |       |       |       |       |
|        |      |        |        |        |       |       | 167   |       |       |       |       |
|        |      |        |        |        |       |       | (63.  |       |       |       |       |
|        |      |        |        |        |       |       | Sia K |       |       |       |       |
|        |      |        |        |        |       |       | angri |       |       |       |       |
|        |      |        |        |        |       |       | (7422 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 64   | Momhil | 7,414  | 24,324 | 907   | Hispa | 36°19 | Trivo | 1964  | 2 (6) | Pakis |
| //en.w |      | Sar    |        |        |       | r Kar | ′04″N | r     |       |       | tan[d |
| ikiped |      |        |        |        |       | akora | 75°02 |       |       |       | p 1]  |
| ia.org |      |        |        |        |       | m     | ′11″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 36. |       |       |       |       |
| List_o |      |        |        |        |       |       | 31778 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 75 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .0363 |       |       |       |       |
| untain |      |        |        |        |       |       | 9°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 36.31 |       |       |       |       |
| arth   |      |        |        |        |       |       | 778;  |       |       |       |       |
|        |      |        |        |        |       |       | 75.03 |       |       |       |       |
|        |      |        |        |        |       |       | 639   |       |       |       |       |
|        |      |        |        |        |       |       | (64.  |       |       |       |       |
|        |      |        |        |        |       |       | Momhi |       |       |       |       |
|        |      |        |        |        |       |       | l Sar |       |       |       |       |
|        |      |        |        |        |       |       | (7414 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 65   | Kabru  | 7,412  | 24,318 | 720   | Kangc | 27°38 | Kangc | 1994  | 1 (2) | India |
| //en.w |      | N      |        |        |       | henju | ′02″N | henju |       | [12]  | •     |
| ikiped |      |        |        |        |       | nga H | 88°07 | nga   |       |       | Nepal |
| ia.org |      |        |        |        |       | imala | ′00″E |       |       |       |       |
| /wiki/ |      |        |        |        |       | ya    | / 27. |       |       |       |       |
| List_o |      |        |        |        |       |       | 63389 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 88 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .1166 |       |       |       |       |
| untain |      |        |        |        |       |       | 7°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 27.63 |       |       |       |       |
| arth   |      |        |        |        |       |       | 389;  |       |       |       |       |
|        |      |        |        |        |       |       | 88.11 |       |       |       |       |
|        |      |        |        |        |       |       | 667   |       |       |       |       |
|        |      |        |        |        |       |       | (65.  |       |       |       |       |
|        |      |        |        |        |       |       | Kabru |       |       |       |       |
|        |      |        |        |        |       |       | N     |       |       |       |       |
|        |      |        |        |        |       |       | (7412 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 66   | Skil   | 7,410  | 24,311 | 1,152 | Balto | 35°51 | K2    | 1957  | 2 (1) | Pakis |
| //en.w |      | Brum   |        |        |       | ro Ka | ′03″N |       |       |       | tan[d |
| ikiped |      |        |        |        |       | rakor | 76°25 |       |       |       | p 1]  |
| ia.org |      |        |        |        |       | am    | ′43″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       |       |
| List_o |      |        |        |        |       |       | 85083 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .4286 |       |       |       |       |
| untain |      |        |        |        |       |       | 1°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.85 |       |       |       |       |
| arth   |      |        |        |        |       |       | 083;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.42 |       |       |       |       |
|        |      |        |        |        |       |       | 861   |       |       |       |       |
|        |      |        |        |        |       |       | (66.  |       |       |       |       |
|        |      |        |        |        |       |       | Skil  |       |       |       |       |
|        |      |        |        |        |       |       | Brum  |       |       |       |       |
|        |      |        |        |        |       |       | (7410 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 67   | Haramo | 7,409  | 24,308 | 2,277 | Rakap | 35°50 | Malub | 1958  | 4 (3) | Pakis |
| //en.w |      | sh     |        |        |       | oshi- | ′24″N | iting |       |       | tan[d |
| ikiped |      | Peak   |        |        |       | Haram | 74°53 |       |       |       | p 1]  |
| ia.org |      |        |        |        |       | osh K | ′51″E |       |       |       |       |
| /wiki/ |      |        |        |        |       | arako | / 35. |       |       |       |       |
| List_o |      |        |        |        |       | ram   | 84000 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 74 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .8975 |       |       |       |       |
| untain |      |        |        |        |       |       | 0°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.84 |       |       |       |       |
| arth   |      |        |        |        |       |       | 000;  |       |       |       |       |
|        |      |        |        |        |       |       | 74.89 |       |       |       |       |
|        |      |        |        |        |       |       | 750   |       |       |       |       |
|        |      |        |        |        |       |       | (67.  |       |       |       |       |
|        |      |        |        |        |       |       | Haram |       |       |       |       |
|        |      |        |        |        |       |       | osh   |       |       |       |       |
|        |      |        |        |        |       |       | Peak  |       |       |       |       |
|        |      |        |        |        |       |       | (7409 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 68   | Istor- | 7,403  | 24,288 | 1,043 | Hindu | 36°22 | Nosha | 1969  | 4 (5) | Pakis |
| //en.w |      | o-Nal  |        |        |       | Kush  | ′32″N | q     |       |       | tan   |
| ikiped |      |        |        |        |       |       | 71°53 |       |       |       |       |
| ia.org |      |        |        |        |       |       | ′54″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 36. |       |       |       |       |
| List_o |      |        |        |        |       |       | 37556 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 71 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .8983 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 36.37 |       |       |       |       |
| arth   |      |        |        |        |       |       | 556;  |       |       |       |       |
|        |      |        |        |        |       |       | 71.89 |       |       |       |       |
|        |      |        |        |        |       |       | 833   |       |       |       |       |
|        |      |        |        |        |       |       | (68.  |       |       |       |       |
|        |      |        |        |        |       |       | Istor |       |       |       |       |
|        |      |        |        |        |       |       | -o-   |       |       |       |       |
|        |      |        |        |        |       |       | Nal   |       |       |       |       |
|        |      |        |        |        |       |       | (7403 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 69   | Ghent  | 7,401  | 24,281 | 1,493 | Salto | 35°31 | Salto | 1961  | 4 (0) | India |
| //en.w |      | Kangri |        |        |       | ro Ka | ′04″N | ro Ka |       |       | • Pak |
| ikiped |      |        |        |        |       | rakor | 76°48 | ngri  |       |       | istan |
| ia.org |      |        |        |        |       | am    | ′02″E |       |       |       | [dp   |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       | 1][dp |
| List_o |      |        |        |        |       |       | 51778 |       |       |       | 3]    |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .8005 |       |       |       |       |
| untain |      |        |        |        |       |       | 6°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.51 |       |       |       |       |
| arth   |      |        |        |        |       |       | 778;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.80 |       |       |       |       |
|        |      |        |        |        |       |       | 056   |       |       |       |       |
|        |      |        |        |        |       |       | (69.  |       |       |       |       |
|        |      |        |        |        |       |       | Ghent |       |       |       |       |
|        |      |        |        |        |       |       | Kangr |       |       |       |       |
|        |      |        |        |        |       |       | i     |       |       |       |       |
|        |      |        |        |        |       |       | (7401 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 70   | Ultar  | 7,388  | 24,239 | 688   | Batur | 36°23 | Shisp | 1996  | 2 (5) | Pakis |
| //en.w |      |        |        |        |       | a Kar | ′27″N | are   |       |       | tan[d |
| ikiped |      |        |        |        |       | akora | 74°43 |       |       |       | p 1]  |
| ia.org |      |        |        |        |       | m     | ′00″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 36. |       |       |       |       |
| List_o |      |        |        |        |       |       | 39083 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 74 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .7166 |       |       |       |       |
| untain |      |        |        |        |       |       | 7°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 36.39 |       |       |       |       |
| arth   |      |        |        |        |       |       | 083;  |       |       |       |       |
|        |      |        |        |        |       |       | 74.71 |       |       |       |       |
|        |      |        |        |        |       |       | 667   |       |       |       |       |
|        |      |        |        |        |       |       | (70.  |       |       |       |       |
|        |      |        |        |        |       |       | Ultar |       |       |       |       |
|        |      |        |        |        |       |       | (7388 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 71   | Rimo I | 7,385  | 24,229 | 1,428 | Rimo  | 35°21 | Teram | 1988  | 1 (3) | India |
| //en.w |      |        |        |        |       | Karak | ′18″N | Kangr |       |       | [dp   |
| ikiped |      |        |        |        |       | oram  | 77°22 | i     |       |       | 5]    |
| ia.org |      |        |        |        |       |       | ′08″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       |       |
| List_o |      |        |        |        |       |       | 35500 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 77 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .3688 |       |       |       |       |
| untain |      |        |        |        |       |       | 9°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.35 |       |       |       |       |
| arth   |      |        |        |        |       |       | 500;  |       |       |       |       |
|        |      |        |        |        |       |       | 77.36 |       |       |       |       |
|        |      |        |        |        |       |       | 889   |       |       |       |       |
|        |      |        |        |        |       |       | (71.  |       |       |       |       |
|        |      |        |        |        |       |       | Rimo  |       |       |       |       |
|        |      |        |        |        |       |       | I     |       |       |       |       |
|        |      |        |        |        |       |       | (7385 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 72   | Churen | 7,385  | 24,229 | 650   | Dhaul | 28°44 | Dhaul | 1970  | 3 (0) | Nepal |
| //en.w |      | Himal  |        |        |       | agiri | ′05″N | agiri |       |       |       |
| ikiped |      |        |        |        |       | Himal | 83°13 | IV    |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′03″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 73472 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 83 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .2175 |       |       |       |       |
| untain |      |        |        |        |       |       | 0°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.73 |       |       |       |       |
| arth   |      |        |        |        |       |       | 472;  |       |       |       |       |
|        |      |        |        |        |       |       | 83.21 |       |       |       |       |
|        |      |        |        |        |       |       | 750   |       |       |       |       |
|        |      |        |        |        |       |       | (72.  |       |       |       |       |
|        |      |        |        |        |       |       | Chure |       |       |       |       |
|        |      |        |        |        |       |       | n     |       |       |       |       |
|        |      |        |        |        |       |       | Himal |       |       |       |       |
|        |      |        |        |        |       |       | (7385 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 73   | Teram  | 7,382  | 24,219 | 520   | Siach | 35°35 | Teram | 1979  | 1 (0) | India |
| //en.w |      | Kangri |        |        |       | en Ka | ′59″N | Kangr |       |       | • Chi |
| ikiped |      | III    |        |        |       | rakor | 77°02 | i     |       |       | na[dp |
| ia.org |      |        |        |        |       | am    | ′53″E |       |       |       | 2][dp |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       | 3]    |
| List_o |      |        |        |        |       |       | 59972 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 77 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .0480 |       |       |       |       |
| untain |      |        |        |        |       |       | 6°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.59 |       |       |       |       |
| arth   |      |        |        |        |       |       | 972;  |       |       |       |       |
|        |      |        |        |        |       |       | 77.04 |       |       |       |       |
|        |      |        |        |        |       |       | 806   |       |       |       |       |
|        |      |        |        |        |       |       | (73.  |       |       |       |       |
|        |      |        |        |        |       |       | Teram |       |       |       |       |
|        |      |        |        |        |       |       | Kangr |       |       |       |       |
|        |      |        |        |        |       |       | i III |       |       |       |       |
|        |      |        |        |        |       |       | (7382 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
