+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| url        | Rank | Title     | Title_lin | Type | Opening_D | Closing_D | Performan | Comment   |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 51   | Spamalot  | https://e | M    | March 17, | January   | 1,575     | 3 Tony    |
| .wikipedia |      |           | n.wikiped |      | 2005      | 11, 2009  |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 2005,     |
| List_of_th |      |           | ki/Spamal |      |           |           |           | including |
| e_longest- |      |           | ot        |      |           |           |           | Best      |
| running_Br |      |           |           |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  3 Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 2005,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 2006      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 52   | Mary,     | https://e | P    | March 8,  | December  | 1,572     |           |
| .wikipedia |      | Mary      | n.wikiped |      | 1961      | 12, 1964  |           |           |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           |           |
| List_of_th |      |           | ki/Mary,_ |      |           |           |           |           |
| e_longest- |      |           | Mary_(pla |      |           |           |           |           |
| running_Br |      |           | y)        |      |           |           |           |           |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 53   | Evita     | https://e | M    | September | June 26,  | 1,567     | 7 Tony    |
| .wikipedia |      |           | n.wikiped |      | 25, 1979  | 1983      |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1980,     |
| List_of_th |      |           | ki/Evita_ |      |           |           |           | including |
| e_longest- |      |           | (musical) |      |           |           |           | Best      |
| running_Br |      |           |           |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  6 Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1980,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best Cast |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1981      |
|            |      |           |           |      |           |           |           |  Revival  |
|            |      |           |           |      |           |           |           | in 2012   |
|            |      |           |           |      |           |           |           | (337 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 54   | The Voice | https://e | P    | December  | January   | 1,557     |           |
| .wikipedia |      | of the    | n.wikiped |      | 8, 1943   | 3, 1948   |           |           |
| .org/wiki/ |      | Turtle    | ia.org/wi |      |           |           |           |           |
| List_of_th |      |           | ki/The_Vo |      |           |           |           |           |
| e_longest- |      |           | ice_of_th |      |           |           |           |           |
| running_Br |      |           | e_Turtle_ |      |           |           |           |           |
| oadway_sho |      |           | (play)    |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 55   | Matilda   | https://e | M    | April 11, | January   | 1,554     | 4 Tony    |
| .wikipedia |      | the       | n.wikiped |      | 2013      | 1, 2017   |           | Awards in |
| .org/wiki/ |      | Musical   | ia.org/wi |      |           |           |           | 2013      |
| List_of_th |      |           | ki/Matild |      |           |           |           |  5 Drama  |
| e_longest- |      |           | a_the_Mus |      |           |           |           | Desk      |
| running_Br |      |           | ical      |      |           |           |           | Awards in |
| oadway_sho |      |           |           |      |           |           |           | 2013,     |
| ws         |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  A Tony   |
|            |      |           |           |      |           |           |           | Honors    |
|            |      |           |           |      |           |           |           | for Excel |
|            |      |           |           |      |           |           |           | lence in  |
|            |      |           |           |      |           |           |           | Theatre   |
|            |      |           |           |      |           |           |           | in 2013   |
|            |      |           |           |      |           |           |           | for the   |
|            |      |           |           |      |           |           |           | four      |
|            |      |           |           |      |           |           |           | original  |
|            |      |           |           |      |           |           |           | Matildas  |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 56   | Jekyll &  | https://e | M    | April 28, | January   | 1,543     | 2 Drama   |
| .wikipedia |      | Hyde      | n.wikiped |      | 1997      | 7, 2001   |           | Desk      |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | Awards in |
| List_of_th |      |           | ki/Jekyll |      |           |           |           | 1997      |
| e_longest- |      |           | _%26_Hyde |      |           |           |           |  Revival  |
| running_Br |      |           | _(musical |      |           |           |           | in 2013   |
| oadway_sho |      |           | )         |      |           |           |           | (30 perfo |
| ws         |      |           |           |      |           |           |           | rmances)  |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 57   | Barefoot  | https://e | P    | October   | June 25,  | 1,530     | A Tony    |
| .wikipedia |      | in the    | n.wikiped |      | 23, 1963  | 1967      |           | Award in  |
| .org/wiki/ |      | Park      | ia.org/wi |      |           |           |           | 1964      |
| List_of_th |      |           | ki/Barefo |      |           |           |           |  Revival  |
| e_longest- |      |           | ot_in_the |      |           |           |           | in 2006   |
| running_Br |      |           | _Park     |      |           |           |           | (109 perf |
| oadway_sho |      |           |           |      |           |           |           | ormances) |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 58   | 42nd      | https://e | M    | May 2,    | January   | 1,524     | Revival   |
| .wikipedia |      | Street    | n.wikiped |      | 2001      | 2, 2005   |           |  2 Tony   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | Awards in |
| List_of_th |      |           | ki/42nd_S |      |           |           |           | 2001,     |
| e_longest- |      |           | treet_(mu |      |           |           |           | including |
| running_Br |      |           | sical)    |      |           |           |           | Best      |
| oadway_sho |      |           |           |      |           |           |           | Revival   |
| ws         |      |           |           |      |           |           |           | of a      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  A Drama  |
|            |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Award in  |
|            |      |           |           |      |           |           |           | 2001, Out |
|            |      |           |           |      |           |           |           | standing  |
|            |      |           |           |      |           |           |           | Revival   |
|            |      |           |           |      |           |           |           | of a      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Original |
|            |      |           |           |      |           |           |           | productio |
|            |      |           |           |      |           |           |           | n in 1980 |
|            |      |           |           |      |           |           |           | (3486 per |
|            |      |           |           |      |           |           |           | formances |
|            |      |           |           |      |           |           |           | )         |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 59   | Dreamgirl | https://e | M    | December  | August    | 1,521     | 6 Tony    |
| .wikipedia |      | s         | n.wikiped |      | 20, 1981  | 11, 1985  |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1982      |
| List_of_th |      |           | ki/Dreamg |      |           |           |           |  4 Drama  |
| e_longest- |      |           | irls      |      |           |           |           | Desk      |
| running_Br |      |           |           |      |           |           |           | Awards in |
| oadway_sho |      |           |           |      |           |           |           | 1982      |
| ws         |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best Cast |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1983      |
|            |      |           |           |      |           |           |           |  Revivals |
|            |      |           |           |      |           |           |           | in 1987   |
|            |      |           |           |      |           |           |           | (177 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | and 2001  |
|            |      |           |           |      |           |           |           | (1        |
|            |      |           |           |      |           |           |           | benefit p |
|            |      |           |           |      |           |           |           | erformanc |
|            |      |           |           |      |           |           |           | e)        |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 60   | Mame      | https://e | M    | May 24,   | January   | 1,508     | 3 Tony    |
| .wikipedia |      |           | n.wikiped |      | 1966      | 3, 1970   |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1966      |
| List_of_th |      |           | ki/Mame_( |      |           |           |           |  Grammy   |
| e_longest- |      |           | musical)  |      |           |           |           | Award for |
| running_Br |      |           |           |      |           |           |           | Best      |
| oadway_sho |      |           |           |      |           |           |           | Score     |
| ws         |      |           |           |      |           |           |           | From an   |
|            |      |           |           |      |           |           |           | Original  |
|            |      |           |           |      |           |           |           | Cast Show |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1967      |
|            |      |           |           |      |           |           |           |  Revival  |
|            |      |           |           |      |           |           |           | in 1983   |
|            |      |           |           |      |           |           |           | (41 perfo |
|            |      |           |           |      |           |           |           | rmances)  |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 61   | Grease    | https://e | M    | May 11,   | January   | 1,505     | Revival   |
| .wikipedia |      |           | n.wikiped |      | 1994      | 25, 1998  |           |  Original |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | productio |
| List_of_th |      |           | ki/Grease |      |           |           |           | n in 1972 |
| e_longest- |      |           | _(musical |      |           |           |           | (3,388 pe |
| running_Br |      |           | )         |      |           |           |           | rformance |
| oadway_sho |      |           |           |      |           |           |           | s) and    |
| ws         |      |           |           |      |           |           |           | revival   |
|            |      |           |           |      |           |           |           | in 2007   |
|            |      |           |           |      |           |           |           | (554 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 62   | Same      | https://e | P    | March 14, | September | 1,453     | A Tony    |
| .wikipedia |      | Time,     | n.wikiped |      | 1975      | 3, 1978   |           | Award in  |
| .org/wiki/ |      | Next Year | ia.org/wi |      |           |           |           | 1975      |
| List_of_th |      |           | ki/Same_T |      |           |           |           |  2 Drama  |
| e_longest- |      |           | ime,_Next |      |           |           |           | Desk      |
| running_Br |      |           | _Year_(pl |      |           |           |           | Awards in |
| oadway_sho |      |           | ay)       |      |           |           |           | 1975,     |
| ws         |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng Play   |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 63   | Arsenic   | https://e | P    | January   | June 17,  | 1,444     | Revival   |
| .wikipedia |      | and Old   | n.wikiped |      | 10, 1941  | 1944      |           | in 1986   |
| .org/wiki/ |      | Lace      | ia.org/wi |      |           |           |           | (221 perf |
| List_of_th |      |           | ki/Arseni |      |           |           |           | ormances) |
| e_longest- |      |           | c_and_Old |      |           |           |           |           |
| running_Br |      |           | _Lace_(pl |      |           |           |           |           |
| oadway_sho |      |           | ay)       |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 64   | The Sound | https://e | M    | November  | June 15,  | 1,443     | 5 Tony    |
| .wikipedia |      | of Music  | n.wikiped |      | 16, 1959  | 1963      |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1960,     |
| List_of_th |      |           | ki/The_So |      |           |           |           | including |
| e_longest- |      |           | und_of_Mu |      |           |           |           | Best      |
| running_Br |      |           | sic       |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  Grammy   |
| ws         |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best Show |
|            |      |           |           |      |           |           |           | Album     |
|            |      |           |           |      |           |           |           | (Original |
|            |      |           |           |      |           |           |           | Cast) in  |
|            |      |           |           |      |           |           |           | 1961      |
|            |      |           |           |      |           |           |           |  Revival  |
|            |      |           |           |      |           |           |           | in 1998   |
|            |      |           |           |      |           |           |           | (533 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 65   | Me and My | https://e | M    | August    | December  | 1,420     | 3 Tony    |
| .wikipedia |      | Girl      | n.wikiped |      | 10, 1986  | 31, 1989  |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1987      |
| List_of_th |      |           | ki/Me_and |      |           |           |           |  5 Drama  |
| e_longest- |      |           | _My_Girl  |      |           |           |           | Desk      |
| running_Br |      |           |           |      |           |           |           | Awards in |
| oadway_sho |      |           |           |      |           |           |           | 1987      |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 66   | How to    | https://e | M    | October   | March 6,  | 1,417     | 7 Tony    |
| .wikipedia |      | Succeed   | n.wikiped |      | 14, 1961  | 1965      |           | Awards in |
| .org/wiki/ |      | in        | ia.org/wi |      |           |           |           | 1962,     |
| List_of_th |      | Business  | ki/How_to |      |           |           |           | including |
| e_longest- |      | Without   | _Succeed_ |      |           |           |           | Best      |
| running_Br |      | Really    | in_Busine |      |           |           |           | Musical   |
| oadway_sho |      | Trying    | ss_Withou |      |           |           |           |  Pulitzer |
| ws         |      |           | t_Really_ |      |           |           |           | Prize for |
|            |      |           | Trying    |      |           |           |           | Drama in  |
|            |      |           |           |      |           |           |           | 1962      |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Original  |
|            |      |           |           |      |           |           |           | Cast Show |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1962      |
|            |      |           |           |      |           |           |           |  Revivals |
|            |      |           |           |      |           |           |           | in 1995   |
|            |      |           |           |      |           |           |           | (548 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | and 2011  |
|            |      |           |           |      |           |           |           | (473 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 67   | Hellzapop | https://e | R    | September | December  | 1,404     |           |
| .wikipedia |      | pin       | n.wikiped |      | 22, 1938  | 17, 1941  |           |           |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           |           |
| List_of_th |      |           | ki/Hellza |      |           |           |           |           |
| e_longest- |      |           | poppin_(m |      |           |           |           |           |
| running_Br |      |           | usical)   |      |           |           |           |           |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 68   | The Music | https://e | M    | December  | April 15, | 1,375     | 6 Tony    |
| .wikipedia |      | Man       | n.wikiped |      | 19, 1957  | 1961      |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1958,     |
| List_of_th |      |           | ki/The_Mu |      |           |           |           | including |
| e_longest- |      |           | sic_Man   |      |           |           |           | Best      |
| running_Br |      |           |           |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  Grammy   |
| ws         |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Original  |
|            |      |           |           |      |           |           |           | Cast      |
|            |      |           |           |      |           |           |           | Album     |
|            |      |           |           |      |           |           |           | (Broadway |
|            |      |           |           |      |           |           |           | or TV) in |
|            |      |           |           |      |           |           |           | 1959      |
|            |      |           |           |      |           |           |           |  Revivals |
|            |      |           |           |      |           |           |           | in 1980   |
|            |      |           |           |      |           |           |           | (21 perfo |
|            |      |           |           |      |           |           |           | rmances)  |
|            |      |           |           |      |           |           |           | and 2000  |
|            |      |           |           |      |           |           |           | (699 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 69   | Funny     | https://e | M    | March 26, | July 1,   | 1,348     | Grammy    |
| .wikipedia |      | Girl      | n.wikiped |      | 1964      | 1967      |           | Award for |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | Best      |
| List_of_th |      |           | ki/Funny_ |      |           |           |           | Score     |
| e_longest- |      |           | Girl_(mus |      |           |           |           | From an   |
| running_Br |      |           | ical)     |      |           |           |           | Original  |
| oadway_sho |      |           |           |      |           |           |           | Cast Show |
| ws         |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1965      |
|            |      |           |           |      |           |           |           |  Revival  |
|            |      |           |           |      |           |           |           | in 2002   |
|            |      |           |           |      |           |           |           | (1        |
|            |      |           |           |      |           |           |           | benefit p |
|            |      |           |           |      |           |           |           | erformanc |
|            |      |           |           |      |           |           |           | e)        |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 70   | Mummensch | https://e | S    | March 30, | April 20, | 1,326     | Broadway' |
| .wikipedia |      | anz       | n.wikiped |      | 1977      | 1980      |           | s         |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | longest-  |
| List_of_th |      |           | ki/Mummen |      |           |           |           | running   |
| e_longest- |      |           | schanz    |      |           |           |           | special   |
| running_Br |      |           |           |      |           |           |           |           |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 71   | Oh!       | https://e | R    | June 17,  | August    | 1,314     | Original  |
| .wikipedia |      | Calcutta! | n.wikiped |      | 1969      | 12, 1972  |           | productio |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | n         |
| List_of_th |      |           | ki/Oh!_Ca |      |           |           |           |  Revival  |
| e_longest- |      |           | lcutta!   |      |           |           |           | in 1976   |
| running_Br |      |           |           |      |           |           |           | (5,959 pe |
| oadway_sho |      |           |           |      |           |           |           | rformance |
| ws         |      |           |           |      |           |           |           | s)        |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 72   | Billy     | https://e | M    | November  | January   | 1,312     | 10 Tony   |
| .wikipedia |      | Elliot    | n.wikiped |      | 13, 2008  | 8, 2012   |           | Awards in |
| .org/wiki/ |      | the       | ia.org/wi |      |           |           |           | 2009,     |
| List_of_th |      | Musical   | ki/Billy_ |      |           |           |           | including |
| e_longest- |      |           | Elliot_th |      |           |           |           | Best      |
| running_Br |      |           | e_Musical |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  10 Drama |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 2009,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 73   | Movin'    | https://e | D    | October   | December  | 1,303     | 2 Tony    |
| .wikipedia |      | Out       | n.wikiped |      | 24, 2002  | 11, 2005  |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 2003      |
| List_of_th |      |           | ki/Movin% |      |           |           |           |  A Drama  |
| e_longest- |      |           | 27_Out_(m |      |           |           |           | Desk      |
| running_Br |      |           | usical)   |      |           |           |           | Award in  |
| oadway_sho |      |           |           |      |           |           |           | 2003      |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 74   | Brighton  | https://e | P    | March 27, | May 11,   | 1,299     | A Tony    |
| .wikipedia |      | Beach     | n.wikiped |      | 1983      | 1986      |           | Award in  |
| .org/wiki/ |      | Memoirs   | ia.org/wi |      |           |           |           | 1983      |
| List_of_th |      |           | ki/Bright |      |           |           |           |  Revival  |
| e_longest- |      |           | on_Beach_ |      |           |           |           | in 2009   |
| running_Br |      |           | Memoirs   |      |           |           |           | (9 perfor |
| oadway_sho |      |           |           |      |           |           |           | mances)   |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 75   | Angel     | https://e | P    | December  | December  | 1,295     | Revivals  |
| .wikipedia |      | Street    | n.wikiped |      | 5, 1941   | 30, 1944  |           | in 1948   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | (14 perfo |
| List_of_th |      |           | ki/Gas_Li |      |           |           |           | rmances)  |
| e_longest- |      |           | ght       |      |           |           |           | and 1975  |
| running_Br |      |           |           |      |           |           |           | (52 perfo |
| oadway_sho |      |           |           |      |           |           |           | rmances)  |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 76   | Lightnin' | https://e | P    | August    | August    | 1,291     | First     |
| .wikipedia |      |           | n.wikiped |      | 26, 1918  | 27, 1921  |           | ever prod |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | uction    |
| List_of_th |      |           | ki/Lightn |      |           |           |           | with      |
| e_longest- |      |           | in%27_(pl |      |           |           |           | 1000+ per |
| running_Br |      |           | ay)       |      |           |           |           | formances |
| oadway_sho |      |           |           |      |           |           |           |  Revival  |
| ws         |      |           |           |      |           |           |           | in 1938   |
|            |      |           |           |      |           |           |           | (54 perfo |
|            |      |           |           |      |           |           |           | rmances)  |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 77   | Promises, | https://e | M    | December  | January   | 1,281     | 2 Tony    |
| .wikipedia |      | Promises  | n.wikiped |      | 1, 1968   | 1, 1972   |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1969      |
| List_of_th |      |           | ki/Promis |      |           |           |           |  2 Drama  |
| e_longest- |      |           | es,_Promi |      |           |           |           | Desk      |
| running_Br |      |           | ses_(musi |      |           |           |           | Awards in |
| oadway_sho |      |           | cal)      |      |           |           |           | 1969      |
| ws         |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Score     |
|            |      |           |           |      |           |           |           | From an   |
|            |      |           |           |      |           |           |           | Original  |
|            |      |           |           |      |           |           |           | Cast Show |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1970      |
|            |      |           |           |      |           |           |           |  Revival  |
|            |      |           |           |      |           |           |           | in 2010   |
|            |      |           |           |      |           |           |           | (289 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 78   | The King  | https://e | M    | March 29, | March 20, | 1,246     | 5 Tony    |
| .wikipedia |      | and I     | n.wikiped |      | 1951      | 1954      |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1952,     |
| List_of_th |      |           | ki/The_Ki |      |           |           |           | including |
| e_longest- |      |           | ng_and_I  |      |           |           |           | Best      |
| running_Br |      |           |           |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  Revivals |
| ws         |      |           |           |      |           |           |           | in 1977   |
|            |      |           |           |      |           |           |           | (695 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | , 1985    |
|            |      |           |           |      |           |           |           | (191 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | , 1996    |
|            |      |           |           |      |           |           |           | (780 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | , and     |
|            |      |           |           |      |           |           |           | 2015 (499 |
|            |      |           |           |      |           |           |           | performan |
|            |      |           |           |      |           |           |           | ces)      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 79   | Cactus    | https://e | P    | December  | November  | 1,234     |           |
| .wikipedia |      | Flower    | n.wikiped |      | 8, 1965   | 23, 1968  |           |           |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           |           |
| List_of_th |      |           | ki/Cactus |      |           |           |           |           |
| e_longest- |      |           | _Flower_( |      |           |           |           |           |
| running_Br |      |           | play)     |      |           |           |           |           |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 80   | Sleuth    | https://e | P    | November  | October   | 1,222     | A Tony    |
| .wikipedia |      |           | n.wikiped |      | 12, 1970  | 13, 1973  |           | Award in  |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1971,     |
| List_of_th |      |           | ki/Sleuth |      |           |           |           | Best Play |
| e_longest- |      |           | _(play)   |      |           |           |           |           |
| running_Br |      |           |           |      |           |           |           |           |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 80   | Torch     | https://e | P    | June 10,  | May 19,   | 1,222     | 2 Tony    |
| .wikipedia |      | Song      | n.wikiped |      | 1982      | 1985      |           | Awards in |
| .org/wiki/ |      | Trilogy   | ia.org/wi |      |           |           |           | 1983,     |
| List_of_th |      |           | ki/Torch_ |      |           |           |           | including |
| e_longest- |      |           | Song_Tril |      |           |           |           | Best Play |
| running_Br |      |           | ogy       |      |           |           |           |  2 Drama  |
| oadway_sho |      |           |           |      |           |           |           | Desk      |
| ws         |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1983,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng Play   |
|            |      |           |           |      |           |           |           |  Revival  |
