+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| url        | No._overal | No._in_sea | Title     | Directed_ | Written_b | Original_ | Descripti |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | escapes   |
|            |            |            |           |           |           |           | IGH by    |
|            |            |            |           |           |           |           | killing a |
|            |            |            |           |           |           |           | nurse and |
|            |            |            |           |           |           |           | severely  |
|            |            |            |           |           |           |           | injuring  |
|            |            |            |           |           |           |           | Green.    |
|            |            |            |           |           |           |           | She finds |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | living    |
|            |            |            |           |           |           |           | with a    |
|            |            |            |           |           |           |           | new boyfr |
|            |            |            |           |           |           |           | iend,     |
|            |            |            |           |           |           |           | Stirling  |
|            |            |            |           |           |           |           | Adams,    |
|            |            |            |           |           |           |           | but sees  |
|            |            |            |           |           |           |           | him appar |
|            |            |            |           |           |           |           | ently     |
|            |            |            |           |           |           |           | attempt   |
|            |            |            |           |           |           |           | to        |
|            |            |            |           |           |           |           | exploit   |
|            |            |            |           |           |           |           | her and   |
|            |            |            |           |           |           |           | kills him |
|            |            |            |           |           |           |           | in a fit  |
|            |            |            |           |           |           |           | of rage.  |
|            |            |            |           |           |           |           | Returning |
|            |            |            |           |           |           |           | to IGH,   |
|            |            |            |           |           |           |           | Malus     |
|            |            |            |           |           |           |           | promises  |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | that he   |
|            |            |            |           |           |           |           | will cure |
|            |            |            |           |           |           |           | her of    |
|            |            |            |           |           |           |           | the side  |
|            |            |            |           |           |           |           | effects.  |
|            |            |            |           |           |           |           | Adams'    |
|            |            |            |           |           |           |           | death     |
|            |            |            |           |           |           |           | leads to  |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | re-connec |
|            |            |            |           |           |           |           | ting with |
|            |            |            |           |           |           |           | Trish,    |
|            |            |            |           |           |           |           | helping   |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | become    |
|            |            |            |           |           |           |           | sober.    |
|            |            |            |           |           |           |           | Now,      |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | refuses   |
|            |            |            |           |           |           |           | to        |
|            |            |            |           |           |           |           | forgive   |
|            |            |            |           |           |           |           | Alisa and |
|            |            |            |           |           |           |           | attacks   |
|            |            |            |           |           |           |           | her;      |
|            |            |            |           |           |           |           | Malus     |
|            |            |            |           |           |           |           | renders   |
|            |            |            |           |           |           |           | Jessica u |
|            |            |            |           |           |           |           | nconsciou |
|            |            |            |           |           |           |           | s with a  |
|            |            |            |           |           |           |           | sedative. |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 21         | 8          | "AKA      | Zetna     | Gabe      | March 8,  | Trish     |
| .wikipedia |            |            | Ain't We  | Fuentes   | Fonseca   | 2018      | sleeps    |
| .org/wiki/ |            |            | Got Fun"  |           |           |           | with      |
| Jessica_Jo |            |            |           |           |           |           | Ducasse,  |
| nes_(seaso |            |            |           |           |           |           | and he    |
| n_2)       |            |            |           |           |           |           | notices   |
|            |            |            |           |           |           |           | that she  |
|            |            |            |           |           |           |           | has       |
|            |            |            |           |           |           |           | become    |
|            |            |            |           |           |           |           | addicted  |
|            |            |            |           |           |           |           | to the    |
|            |            |            |           |           |           |           | IGH drug. |
|            |            |            |           |           |           |           | When she  |
|            |            |            |           |           |           |           | refuses   |
|            |            |            |           |           |           |           | to admit  |
|            |            |            |           |           |           |           | this, he  |
|            |            |            |           |           |           |           | leaves    |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | decides   |
|            |            |            |           |           |           |           | to        |
|            |            |            |           |           |           |           | continue  |
|            |            |            |           |           |           |           | Jessica's |
|            |            |            |           |           |           |           | investiga |
|            |            |            |           |           |           |           | tion into |
|            |            |            |           |           |           |           | Hogarth's |
|            |            |            |           |           |           |           | partners. |
|            |            |            |           |           |           |           | He        |
|            |            |            |           |           |           |           | discovers |
|            |            |            |           |           |           |           | that      |
|            |            |            |           |           |           |           | Benowitz  |
|            |            |            |           |           |           |           | is        |
|            |            |            |           |           |           |           | secretly  |
|            |            |            |           |           |           |           | gay, and  |
|            |            |            |           |           |           |           | frequents |
|            |            |            |           |           |           |           | a gay bar |
|            |            |            |           |           |           |           | unbeknown |
|            |            |            |           |           |           |           | st to his |
|            |            |            |           |           |           |           | wife.     |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | tells     |
|            |            |            |           |           |           |           | Benowitz  |
|            |            |            |           |           |           |           | that Chou |
|            |            |            |           |           |           |           | had hired |
|            |            |            |           |           |           |           | him, and  |
|            |            |            |           |           |           |           | Benowitz  |
|            |            |            |           |           |           |           | gives     |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | blackmail |
|            |            |            |           |           |           |           | material  |
|            |            |            |           |           |           |           | that he   |
|            |            |            |           |           |           |           | has on    |
|            |            |            |           |           |           |           | her.      |
|            |            |            |           |           |           |           | Outside   |
|            |            |            |           |           |           |           | of the    |
|            |            |            |           |           |           |           | gay bar,  |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | is        |
|            |            |            |           |           |           |           | attacked  |
|            |            |            |           |           |           |           | by homoph |
|            |            |            |           |           |           |           | obic      |
|            |            |            |           |           |           |           | thugs.    |
|            |            |            |           |           |           |           | Trish     |
|            |            |            |           |           |           |           | rescues   |
|            |            |            |           |           |           |           | him, and  |
|            |            |            |           |           |           |           | gives him |
|            |            |            |           |           |           |           | some of   |
|            |            |            |           |           |           |           | the IGH   |
|            |            |            |           |           |           |           | drug to   |
|            |            |            |           |           |           |           | help him  |
|            |            |            |           |           |           |           | heal, but |
|            |            |            |           |           |           |           | it is too |
|            |            |            |           |           |           |           | much for  |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | and he    |
|            |            |            |           |           |           |           | runs off. |
|            |            |            |           |           |           |           | Hogarth   |
|            |            |            |           |           |           |           | visits    |
|            |            |            |           |           |           |           | Shane     |
|            |            |            |           |           |           |           | Ryback,   |
|            |            |            |           |           |           |           | the man   |
|            |            |            |           |           |           |           | who can   |
|            |            |            |           |           |           |           | heal      |
|            |            |            |           |           |           |           | people    |
|            |            |            |           |           |           |           | with his  |
|            |            |            |           |           |           |           | hands. He |
|            |            |            |           |           |           |           | is in     |
|            |            |            |           |           |           |           | prison,   |
|            |            |            |           |           |           |           | but she   |
|            |            |            |           |           |           |           | takes him |
|            |            |            |           |           |           |           | on as a   |
|            |            |            |           |           |           |           | client.   |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | calls the |
|            |            |            |           |           |           |           | police to |
|            |            |            |           |           |           |           | Malus'    |
|            |            |            |           |           |           |           | house,    |
|            |            |            |           |           |           |           | and he    |
|            |            |            |           |           |           |           | flees.    |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | decides   |
|            |            |            |           |           |           |           | to stay   |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | and hopes |
|            |            |            |           |           |           |           | to prove  |
|            |            |            |           |           |           |           | that she  |
|            |            |            |           |           |           |           | is the    |
|            |            |            |           |           |           |           | same      |
|            |            |            |           |           |           |           | person    |
|            |            |            |           |           |           |           | who       |
|            |            |            |           |           |           |           | raised    |
|            |            |            |           |           |           |           | Jessica,  |
|            |            |            |           |           |           |           | despite   |
|            |            |            |           |           |           |           | looking   |
|            |            |            |           |           |           |           | different |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | having    |
|            |            |            |           |           |           |           | extreme   |
|            |            |            |           |           |           |           | mood      |
|            |            |            |           |           |           |           | swings.   |
|            |            |            |           |           |           |           | They go   |
|            |            |            |           |           |           |           | to        |
|            |            |            |           |           |           |           | Jessica's |
|            |            |            |           |           |           |           | apartment |
|            |            |            |           |           |           |           | , where   |
|            |            |            |           |           |           |           | they are  |
|            |            |            |           |           |           |           | shot at   |
|            |            |            |           |           |           |           | from      |
|            |            |            |           |           |           |           | outside.  |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | is hit,   |
|            |            |            |           |           |           |           | enraging  |
|            |            |            |           |           |           |           | Alisa.    |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 22         | 9          | "AKA      | Rosemary  | Jenny     | March 8,  | Wanting   |
| .wikipedia |            |            | Shark in  | Rodriguez | Klein     | 2018      | revenge   |
| .org/wiki/ |            |            | the       |           |           |           | for the   |
| Jessica_Jo |            |            | Bathtub,  |           |           |           | death of  |
| nes_(seaso |            |            | Monster   |           |           |           | his man,  |
| n_2)       |            |            | in the    |           |           |           | Cheng     |
|            |            |            | Bed"      |           |           |           | tries to  |
|            |            |            |           |           |           |           | kill      |
|            |            |            |           |           |           |           | Alisa.    |
|            |            |            |           |           |           |           | Shooting  |
|            |            |            |           |           |           |           | at her    |
|            |            |            |           |           |           |           | from      |
|            |            |            |           |           |           |           | across    |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | street,   |
|            |            |            |           |           |           |           | he only   |
|            |            |            |           |           |           |           | hits      |
|            |            |            |           |           |           |           | Jessica.  |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | races to  |
|            |            |            |           |           |           |           | find and  |
|            |            |            |           |           |           |           | kill      |
|            |            |            |           |           |           |           | Cheng,    |
|            |            |            |           |           |           |           | but       |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | is able   |
|            |            |            |           |           |           |           | to render |
|            |            |            |           |           |           |           | him uncon |
|            |            |            |           |           |           |           | scious    |
|            |            |            |           |           |           |           | first,    |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | convinces |
|            |            |            |           |           |           |           | Alisa to  |
|            |            |            |           |           |           |           | find a    |
|            |            |            |           |           |           |           | solution  |
|            |            |            |           |           |           |           | other     |
|            |            |            |           |           |           |           | than      |
|            |            |            |           |           |           |           | murder.   |
|            |            |            |           |           |           |           | Ryback is |
|            |            |            |           |           |           |           | released  |
|            |            |            |           |           |           |           | from      |
|            |            |            |           |           |           |           | prison,   |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | attempts  |
|            |            |            |           |           |           |           | to heal   |
|            |            |            |           |           |           |           | Hogarth,  |
|            |            |            |           |           |           |           | but       |
|            |            |            |           |           |           |           | cannot    |
|            |            |            |           |           |           |           | promise   |
|            |            |            |           |           |           |           | that it   |
|            |            |            |           |           |           |           | will      |
|            |            |            |           |           |           |           | work.     |
|            |            |            |           |           |           |           | During a  |
|            |            |            |           |           |           |           | live      |
|            |            |            |           |           |           |           | broadcast |
|            |            |            |           |           |           |           | of her    |
|            |            |            |           |           |           |           | radio     |
|            |            |            |           |           |           |           | show,     |
|            |            |            |           |           |           |           | Trish,    |
|            |            |            |           |           |           |           | under the |
|            |            |            |           |           |           |           | influence |
|            |            |            |           |           |           |           | of the    |
|            |            |            |           |           |           |           | IGH drug, |
|            |            |            |           |           |           |           | rails     |
|            |            |            |           |           |           |           | against   |
|            |            |            |           |           |           |           | the super |
|            |            |            |           |           |           |           | ficiality |
|            |            |            |           |           |           |           | of her    |
|            |            |            |           |           |           |           | show's pr |
|            |            |            |           |           |           |           | ogramming |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | quits.    |
|            |            |            |           |           |           |           | She is    |
|            |            |            |           |           |           |           | offered a |
|            |            |            |           |           |           |           | desirable |
|            |            |            |           |           |           |           | job on te |
|            |            |            |           |           |           |           | levision, |
|            |            |            |           |           |           |           | but       |
|            |            |            |           |           |           |           | realizes  |
|            |            |            |           |           |           |           | that she  |
|            |            |            |           |           |           |           | has run   |
|            |            |            |           |           |           |           | out of    |
|            |            |            |           |           |           |           | the drug. |
|            |            |            |           |           |           |           | Arocho,   |
|            |            |            |           |           |           |           | whose rel |
|            |            |            |           |           |           |           | ationship |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | has       |
|            |            |            |           |           |           |           | become    |
|            |            |            |           |           |           |           | less      |
|            |            |            |           |           |           |           | hostile   |
|            |            |            |           |           |           |           | and more  |
|            |            |            |           |           |           |           | romantic, |
|            |            |            |           |           |           |           | comes to  |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | when his  |
|            |            |            |           |           |           |           | ex-wife   |
|            |            |            |           |           |           |           | kidnaps   |
|            |            |            |           |           |           |           | their son |
|            |            |            |           |           |           |           | Vido.     |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | and Alisa |
|            |            |            |           |           |           |           | race to   |
|            |            |            |           |           |           |           | save      |
|            |            |            |           |           |           |           | Vido,     |
|            |            |            |           |           |           |           | using     |
|            |            |            |           |           |           |           | their     |
|            |            |            |           |           |           |           | abilities |
|            |            |            |           |           |           |           | for good. |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | sees the  |
|            |            |            |           |           |           |           | potential |
|            |            |            |           |           |           |           | of a life |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | doing     |
|            |            |            |           |           |           |           | good like |
|            |            |            |           |           |           |           | this, but |
|            |            |            |           |           |           |           | still     |
|            |            |            |           |           |           |           | wants to  |
|            |            |            |           |           |           |           | protect   |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | by        |
|            |            |            |           |           |           |           | killing   |
|            |            |            |           |           |           |           | Cheng and |
|            |            |            |           |           |           |           | running   |
|            |            |            |           |           |           |           | away.     |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | frees     |
|            |            |            |           |           |           |           | Cheng,    |
|            |            |            |           |           |           |           | and when  |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | gives     |
|            |            |            |           |           |           |           | chase she |
|            |            |            |           |           |           |           | is confro |
|            |            |            |           |           |           |           | nted by   |
|            |            |            |           |           |           |           | police,   |
|            |            |            |           |           |           |           | and surre |
|            |            |            |           |           |           |           | nders to  |
|            |            |            |           |           |           |           | them.     |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 23         | 10         | "AKA Pork | Neasa     | Aïda      | March 8,  | Hogarth   |
| .wikipedia |            |            | Chop"     | Hardiman; | Mashaka   | 2018      | arranges  |
| .org/wiki/ |            |            |           | Neasa     | Croal     |           | a plea    |
| Jessica_Jo |            |            |           | Hardiman  |           |           | deal for  |
| nes_(seaso |            |            |           |           |           |           | Alisa,    |
| n_2)       |            |            |           |           |           |           | where she |
|            |            |            |           |           |           |           | can avoid |
|            |            |            |           |           |           |           | the Raft, |
|            |            |            |           |           |           |           | a superhu |
|            |            |            |           |           |           |           | man       |
|            |            |            |           |           |           |           | prison,   |
|            |            |            |           |           |           |           | if she    |
|            |            |            |           |           |           |           | gives up  |
|            |            |            |           |           |           |           | Malus.    |
|            |            |            |           |           |           |           | Alisa     |
|            |            |            |           |           |           |           | agrees    |
|            |            |            |           |           |           |           | when      |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | promises  |
|            |            |            |           |           |           |           | to keep   |
|            |            |            |           |           |           |           | Malus     |
|            |            |            |           |           |           |           | safe.     |
|            |            |            |           |           |           |           | Trish     |
|            |            |            |           |           |           |           | struggles |
|            |            |            |           |           |           |           | with with |
|            |            |            |           |           |           |           | drawals   |
|            |            |            |           |           |           |           | during    |
|            |            |            |           |           |           |           | her telev |
|            |            |            |           |           |           |           | ision     |
|            |            |            |           |           |           |           | audition, |
|            |            |            |           |           |           |           | where she |
|            |            |            |           |           |           |           | overhears |
|            |            |            |           |           |           |           | that the  |
|            |            |            |           |           |           |           | super-    |
|            |            |            |           |           |           |           | powered   |
|            |            |            |           |           |           |           | killer    |
|            |            |            |           |           |           |           | has been  |
|            |            |            |           |           |           |           | caught.   |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | explains  |
|            |            |            |           |           |           |           | everythin |
|            |            |            |           |           |           |           | g to      |
|            |            |            |           |           |           |           | Trish and |
|            |            |            |           |           |           |           | Ducasse,  |
|            |            |            |           |           |           |           | but tells |
|            |            |            |           |           |           |           | them to   |
|            |            |            |           |           |           |           | stay      |
|            |            |            |           |           |           |           | away. She |
|            |            |            |           |           |           |           | finds     |
|            |            |            |           |           |           |           | Malus and |
|            |            |            |           |           |           |           | convinces |
|            |            |            |           |           |           |           | him to go |
|            |            |            |           |           |           |           | to a      |
|            |            |            |           |           |           |           | country   |
|            |            |            |           |           |           |           | with no e |
|            |            |            |           |           |           |           | xtraditio |
|            |            |            |           |           |           |           | n so      |
|            |            |            |           |           |           |           | Alisa can |
|            |            |            |           |           |           |           | talk      |
|            |            |            |           |           |           |           | about him |
|            |            |            |           |           |           |           | without   |
|            |            |            |           |           |           |           | fear of   |
|            |            |            |           |           |           |           | him being |
|            |            |            |           |           |           |           | caught.   |
|            |            |            |           |           |           |           | He first  |
|            |            |            |           |           |           |           | waits for |
|            |            |            |           |           |           |           | a new     |
|            |            |            |           |           |           |           | passport  |
|            |            |            |           |           |           |           | provided  |
|            |            |            |           |           |           |           | by        |
|            |            |            |           |           |           |           | Arocho,   |
|            |            |            |           |           |           |           | and also  |
|            |            |            |           |           |           |           | tells     |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | that he   |
|            |            |            |           |           |           |           | never     |
|            |            |            |           |           |           |           | treated   |
|            |            |            |           |           |           |           | Ryback.   |
|            |            |            |           |           |           |           | Hogarth   |
|            |            |            |           |           |           |           | does not  |
|            |            |            |           |           |           |           | believe   |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | when she  |
|            |            |            |           |           |           |           | says      |
|            |            |            |           |           |           |           | this, but |
|            |            |            |           |           |           |           | arrives   |
|            |            |            |           |           |           |           | home to   |
|            |            |            |           |           |           |           | find      |
|            |            |            |           |           |           |           | Green and |
|            |            |            |           |           |           |           | Ryback    |
|            |            |            |           |           |           |           | have      |
|            |            |            |           |           |           |           | robbed    |
|            |            |            |           |           |           |           | her (and  |
|            |            |            |           |           |           |           | thus      |
|            |            |            |           |           |           |           | realizes  |
|            |            |            |           |           |           |           | she was   |
|            |            |            |           |           |           |           | not       |
|            |            |            |           |           |           |           | cured).   |
|            |            |            |           |           |           |           | Trish and |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | decide to |
|            |            |            |           |           |           |           | track     |
|            |            |            |           |           |           |           | down      |
|            |            |            |           |           |           |           | Malus the |
|            |            |            |           |           |           |           | mselves,  |
|            |            |            |           |           |           |           | while     |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | discovers |
